value,ignore,type,minVersion,maxVersion,en,de,ru
Title Case Change Case Item,FALSE,menu,,,Type > Change Case > Title Case,Schrift > Groß-/Kleinschreibung ändern > Erster Buchstabe Im Wort Groß,Текст > Изменить регистр > Прописная В Начале Каждого Слова
Sentence case Change Case Item,FALSE,menu,,,Type > Change Case > Sentence case,Schrift > Groß-/Kleinschreibung ändern > Erster buchstabe im satz groß,Текст > Изменить регистр > Прописная в начале предложения
Adobe Illustrator Smart Punctuation Menu Item,FALSE,menu,,,Type > Smart Punctuation...,Schrift > Satz-/Sonderzeichen …,Текст > Типографская пунктуация...
outline,FALSE,menu,,,Type > Create Outlines,Schrift > In Pfade umwandeln,Текст > Преобразовать в кривые
Adobe Optical Alignment Item,FALSE,menu,,,Type > Optical Margin Alignment,Schrift > Optischer Randausgleich,Текст > Визуальное выравнивание полей
showHiddenChar,FALSE,menu,,,Type > Show Hidden Characters,Schrift > Verborgene Zeichen einblenden / ausblenden,Текст > Показать скрытые символы
type-horizontal,FALSE,menu,,,Type > Type Orientation > Horizontal,Schrift > Textausrichtung > Horizontal,Текст > Ориентация текста > Горизонтальная
type-vertical,FALSE,menu,,,Type > Type Orientation > Vertical,Schrift > Textausrichtung > Vertikal,Текст > Ориентация текста > Вертикальная
selectall,FALSE,menu,,,Select > All,Auswahl > Alles auswählen,Выделение > Все
selectallinartboard,FALSE,menu,,,Select > All on Active Artboard,Auswahl > Alles auf der aktiven Zeichenfläche,Выделение > Все объекты в активной монтажной области
deselectall,FALSE,menu,,,Select > Deselect,Auswahl > Auswahl aufheben,Выделение > Отменить выделение
Find Reselect menu item,FALSE,menu,,,Select > Reselect,Auswahl > Erneut auswählen,Выделение > Выделить снова
Inverse menu item,FALSE,menu,,,Select > Inverse,Auswahl > Auswahl umkehren,Выделение > Инверсия
Selection Hat 8,FALSE,menu,,,Select > Next Object Above,Auswahl > Nächstes Objekt darüber,Выделение > Следующий объект сверху
Selection Hat 9,FALSE,menu,,,Select > Next Object Below,Auswahl > Nächstes Objekt darunter,Выделение > Следующий объект снизу
Find Appearance menu item,FALSE,menu,26,,Select > Same > Appearance,Auswahl > Gleich > Aussehen,Выделение > По общему признаку > Оформление
Find Appearance Attributes menu item,FALSE,menu,26,,Select > Same > Appearance Attribute,Auswahl > Gleich > Aussehensattribute,Выделение > По общему признаку > Атрибуты оформления
Find Blending Mode menu item,FALSE,menu,26,,Select > Same > Blending Mode,Auswahl > Gleich > Füllmethode,Выделение > По общему признаку > С одинаковым режимом наложения
Find Fill & Stroke menu item,FALSE,menu,26,,Select > Same > Fill & Stroke,Auswahl > Gleich > Fläche und Kontur,Выделение > По общему признаку > С одинаковыми заливкой и обводкой
Find Fill Color menu item,FALSE,menu,26,,Select > Same > Fill Color,Auswahl > Gleich > Flächenfarbe,Выделение > По общему признаку > С одинаковым цветом заливки
Find Opacity menu item,FALSE,menu,26,,Select > Same > Opacity,Auswahl > Gleich > Deckkraft,Выделение > По общему признаку > С одинаковой непрозрачностью
Find Stroke Color menu item,FALSE,menu,26,,Select > Same > Stroke Color,Auswahl > Gleich > Konturfarbe,Выделение > По общему признаку > С одинаковым цветом обводки
Find Stroke Weight menu item,FALSE,menu,26,,Select > Same > Stroke Weight,Auswahl > Gleich > Konturstärke,Выделение > По общему признаку > С одинаковой толщиной обводки
Find Style menu item,FALSE,menu,26,,Select > Same > Graphic Style,Auswahl > Gleich > Grafikstil,Выделение > По общему признаку > Стиль графики
Find Live Shape menu item,FALSE,menu,26,,Select > Same > Shape,Auswahl > Gleich > Form,Выделение > По общему признаку > Фигура
Find Symbol Instance menu item,FALSE,menu,26,,Select > Same > Symbol Instance,Auswahl > Gleich > Symbolinstanz,Выделение > По общему признаку > Одинаковые образцы символа
Find Link Block Series menu item,FALSE,menu,26,,Select > Same > Link Block Series,Auswahl > Gleich > Verknüpfungsblockreihen,Выделение > По общему признаку > Последовательность связанных блоков
Find Text Font Family menu item,FALSE,menu,26,,Select > Same > Font Family,Auswahl > Gleich > Schriftfamilie,Выделение > По общему признаку > Семейство шрифтов
Find Text Font Family Style menu item,FALSE,menu,26,,Select > Same > Font Family & Style,Auswahl > Gleich > Schriftfamilie und -schnitt,Выделение > По общему признаку > Семейство и стиль шрифтов
Find Text Font Family Style Size menu item,FALSE,menu,26,,"Select > Same > Font Family, Style & Size","Auswahl > Gleich > Schriftfamilie, -schnitt und -grad","Выделение > По общему признаку > Семейство, стиль и размер шрифтов"
Find Text Font Size menu item,FALSE,menu,26,,Select > Same > Font Size,Auswahl > Gleich > Schriftgrad,Выделение > По общему признаку > Размер шрифта
Find Text Fill Color menu item,FALSE,menu,26,,Select > Same > Text Fill Color,Auswahl > Gleich > Textflächenfarbe,Выделение > По общему признаку > Цвет заливки текста
Find Text Stroke Color menu item,FALSE,menu,26,,Select > Same > Text Stroke Color,Auswahl > Gleich > Textkonturfarbe,Выделение > По общему признаку > Цвет обводки текста
Find Text Fill Stroke Color menu item,FALSE,menu,26,,Select > Same > Text Fill & Stroke Color,Auswahl > Gleich > Textflächen- und -konturfarbe,Выделение > По общему признаку > Цвет заливки и обводки текста
Selection Hat 3,FALSE,menu,,,Select > Object > All on Same Layers,Auswahl > Objekt > Alles auf denselben Ebenen,Выделение > По типу объектов > Все на этом же слое
Selection Hat 1,FALSE,menu,,,Select > Object > Direction Handles,Auswahl > Objekt > Richtungsgriffe,Выделение > По типу объектов > Управляющие манипуляторы
Bristle Brush Strokes menu item,FALSE,menu,,,Select > Object > Bristle Brush Strokes,Auswahl > Objekt > Borstenpinselstriche,Выделение > По типу объектов > Мазки для кисти из щетины
Brush Strokes menu item,FALSE,menu,,,Select > Object > Brush Strokes,Auswahl > Objekt > Pinselkonturen,Выделение > По типу объектов > Мазки кисти
Clipping Masks menu item,FALSE,menu,,,Select > Object > Clipping Masks,Auswahl > Objekt > Schnittmasken,Выделение > По типу объектов > Обтравочные маски
Stray Points menu item,FALSE,menu,,,Select > Object > Stray Points,Auswahl > Objekt > Einzelne Ankerpunkte,Выделение > По типу объектов > Изолированные точки
Text Objects menu item,FALSE,menu,,,Select > Object > All Text Objects,Auswahl > Objekt > Alle Textobjekte,Выделение > По типу объектов > Все объекты текста
Point Text Objects menu item,FALSE,menu,,,Select > Object > Point Text Objects,Auswahl > Objekt > Punkttextobjekte,Выделение > По типу объектов > Объекты текста из точки
Area Text Objects menu item,FALSE,menu,,,Select > Object > Area Text Objects,Auswahl > Objekt > Flächenttextobjekte,Выделение > По типу объектов > Объекты текста в области
SmartEdit Menu Item,FALSE,menu,23,,Select > Start/Stop Global Edit,Auswahl > Globale Bearbeitung starten/anhalten,Выделение > Начать глобальное изменение
Selection Hat 10,FALSE,menu,,,Select > Save Selection...,Auswahl > Auswahl speichern …,Выделение > Сохранить выделенную область…
Selection Hat 11,FALSE,menu,,,Select > Edit Selection...,Auswahl > Auswahl bearbeiten …,Выделение > Редактировать выделенную область…
Adobe Apply Last Effect,FALSE,menu,,,Effect > Apply Last Effect,Effekt > Letzten Effekt anwenden,Эффект > Применить последний эффект
Adobe Last Effect,FALSE,menu,,,Effect > Last Effect,Effekt > Letzter Effekt,Эффект > Последний эффект
Live Rasterize Effect Setting,FALSE,menu,,,Effect > Document Raster Effects Settings...,Effekt > Dokument-Rastereffekt-Einstellungen …,Эффект > Параметры растровых эффектов в документе...
Live Adobe Geometry3D Extrude,FALSE,menu,26,,Effect > 3D and Materials > Extrude & Bevel...,Effekt > 3D und Materialien > Extrudieren und abgeflachte Kante …,Эффект > 3D и материалы > Вытягивание и фаска...
Live Adobe Geometry3D Revolve,FALSE,menu,26,,Effect > 3D and Materials > Revolve...,Effekt > 3D und Materialien > Kreiseln …,Эффект > 3D и материалы > Вращение…
Live Adobe Geometry3D Inflate,FALSE,menu,26,,Effect > 3D and Materials > Inflate...,Effekt > 3D und Materialien > Aufblasen …,Эффект > 3D и материалы > Раздувание…
Live Adobe Geometry3D Rotate,FALSE,menu,26,,Effect > 3D and Materials > Rotate...,Effekt > 3D und Materialien > Drehen …,Эффект > 3D и материалы > Поворот…
Live Adobe Geometry3D Materials,FALSE,menu,26,,Effect > 3D and Materials > Materials...,Effekt > 3D und Materialien > Materialien …,Эффект > 3D и материалы > Материалы…
Live 3DExtrude,FALSE,menu,26,,Effect > 3D and Materials > 3D (Classic) > Extrude & Bevel (Classic)...,Effekt > 3D (klassisch) > Extrudieren und abgeflachte Kante (klassisch) …,Эффект > 3D (классическое) > Вытягивание и фаска (классический)…
Live 3DRevolve,FALSE,menu,26,,Effect > 3D and Materials > 3D (Classic) > Revolve (Classic)...,Effekt > 3D (klassisch) > Kreiseln (klassisch) …,Эффект > 3D (классическое) > Вращение (классическое)…
Live 3DRotate,FALSE,menu,26,,Effect > 3D and Materials > 3D (Classic) > Rotate (Classic)...,Effekt > 3D (klassisch) > Drehen (klassisch) …,Эффект > 3D (классическое) > Поворот (классический)…
Live Rectangle,FALSE,menu,,,Effect > Convert to Shape > Rectangle...,Effekt > In Form umwandeln > Rechteck …,Эффект > Преобразовать в фигуру> Прямоугольник…
Live Rounded Rectangle,FALSE,menu,,,Effect > Convert to Shape > Rounded Rectangle...,Effekt > In Form umwandeln > Abgerundetes Rechteck …,Эффект > Преобразовать в фигуру> Прямоугольник со скругленными углами…
Live Ellipse,FALSE,menu,,,Effect > Convert to Shape > Ellipse...,Effekt > In Form umwandeln > Ellipse …,Эффект > Преобразовать в фигуру> Эллипс…
Live Trim Marks,FALSE,menu,,,Effect > Crop Marks,Effekt > Schnittmarken,Эффект > Метки обрезки
Live Free Distort,FALSE,menu,,,Effect > Distort & Transform > Free Distort...,Effekt > Verzerrungs- und Transformationsfilter > Frei verzerren …,Эффект > Исказить и трансформировать > Произвольное искажение...
Live Pucker & Bloat,FALSE,menu,,,Effect > Distort & Transform > Pucker & Bloat...,Effekt > Verzerrungs- und Transformationsfilter > Zusammenziehen und aufblasen …,Эффект > Исказить и трансформировать > Втягивание и раздувание...
Live Roughen,FALSE,menu,,,Effect > Distort & Transform > Roughen...,Effekt > Verzerrungs- und Transformationsfilter > Aufrauen …,Эффект > Исказить и трансформировать > Огрубление...
Live Transform,FALSE,menu,,,Effect > Distort & Transform > Transform...,Effekt > Verzerrungs- und Transformationsfilter > Transformieren …,Эффект > Исказить и трансформировать > Трансформировать...
Live Scribble and Tweak,FALSE,menu,,,Effect > Distort & Transform > Tweak...,Effekt > Verzerrungs- und Transformationsfilter > Tweak …,Эффект > Исказить и трансформировать > Помарки...
Live Twist,FALSE,menu,,,Effect > Distort & Transform > Twist...,Effekt > Verzerrungs- und Transformationsfilter > Wirbel …,Эффект > Исказить и трансформировать > Скручивание...
Live Zig Zag,FALSE,menu,,,Effect > Distort & Transform > Zig Zag...,Effekt > Verzerrungs- und Transformationsfilter > Zickzack …,Эффект > Исказить и трансформировать > Зигзаг...
Live Offset Path,FALSE,menu,,,Effect > Path > Offset Path...,Effekt > Pfad > Pfad verschieben …,Эффект > Контур > Создать параллельный контур...
Live Outline Object,FALSE,menu,,,Effect > Path > Outline Object,Effekt > Pfad > Kontur nachzeichnen,Эффект > Контур > Контурный объект
Live Outline Stroke,FALSE,menu,,,Effect > Path > Outline Stroke,Effekt > Pfad > Konturlinie,Эффект > Контур > Преобразовать обводку в кривые
Live Pathfinder Add,FALSE,menu,,,Effect > Pathfinder > Add,Effekt > Pathfinder > Hinzufügen,Эффект > Обработка контуров > Добавить
Live Pathfinder Intersect,FALSE,menu,,,Effect > Pathfinder > Intersect,Effekt > Pathfinder > Schnittmenge bilden,Эффект > Обработка контуров > Пересечение
Live Pathfinder Exclude,FALSE,menu,,,Effect > Pathfinder > Exclude,Effekt > Pathfinder > Schnittmenge entfernen,Эффект > Обработка контуров > Исключение
Live Pathfinder Subtract,FALSE,menu,,,Effect > Pathfinder > Subtract,Effekt > Pathfinder > Subtrahieren,Эффект > Обработка контуров > Вычитание
Live Pathfinder Minus Back,FALSE,menu,,,Effect > Pathfinder > Minus Back,Effekt > Pathfinder > Hinteres Objekt abziehen,Эффект > Обработка контуров > Минус нижний
Live Pathfinder Divide,FALSE,menu,,,Effect > Pathfinder > Divide,Effekt > Pathfinder > Unterteilen,Эффект > Обработка контуров > Разделение
Live Pathfinder Trim,FALSE,menu,,,Effect > Pathfinder > Trim,Effekt > Pathfinder > Überlappungsbereich entfernen,Эффект > Обработка контуров > Обрезка
Live Pathfinder Merge,FALSE,menu,,,Effect > Pathfinder > Merge,Effekt > Pathfinder > Verdeckte Fläche entfernen,Эффект > Обработка контуров > Объединение
Live Pathfinder Crop,FALSE,menu,,,Effect > Pathfinder > Crop,Effekt > Pathfinder > Schnittmengenfläche,Эффект > Обработка контуров > Кадрировать
Live Pathfinder Outline,FALSE,menu,,,Effect > Pathfinder > Outline,Effekt > Pathfinder > Kontur aufteilen,Эффект > Обработка контуров > Контур
Live Pathfinder Hard Mix,FALSE,menu,,,Effect > Pathfinder > Hard Mix,Effekt > Pathfinder > Hart mischen,Эффект > Обработка контуров > Жесткое смешивание
Live Pathfinder Soft Mix,FALSE,menu,,,Effect > Pathfinder > Soft Mix...,Effekt > Pathfinder > Weich mischen …,Эффект > Обработка контуров > Нежесткое смешивание...
Live Pathfinder Trap,FALSE,menu,,,Effect > Pathfinder > Trap...,Effekt > Pathfinder > Überfüllen …,Эффект > Обработка контуров > Треппинг…
Live Rasterize,FALSE,menu,,,Effect > Rasterize...,Effekt > In Pixelbild umwandeln …,Эффект > Растрировать...
Live Adobe Drop Shadow,FALSE,menu,,,Effect > Stylize > Drop Shadow...,Effekt > Stilisierungsfilter > Schlagschatten …,Эффект > Стилизация > Тень...
Live Feather,FALSE,menu,,,Effect > Stylize > Feather...,Effekt > Stilisierungsfilter > Weiche Kante …,Эффект > Стилизация > Растушевка...
Live Inner Glow,FALSE,menu,,,Effect > Stylize > Inner Glow...,Effekt > Stilisierungsfilter > Schein nach innen …,Эффект > Стилизация > Внутреннее свечение...
Live Outer Glow,FALSE,menu,,,Effect > Stylize > Outer Glow...,Effekt > Stilisierungsfilter > Schein nach außen …,Эффект > Стилизация > Внешнее свечение...
Live Adobe Round Corners,FALSE,menu,,,Effect > Stylize > Round Corners...,Effekt > Stilisierungsfilter > Ecken abrunden …,Эффект > Стилизация > Скругленные углы...
Live Scribble Fill,FALSE,menu,,,Effect > Stylize > Scribble...,Effekt > Stilisierungsfilter > Scribble …,Эффект > Стилизация > Каракули…
Live SVG Filters,FALSE,menu,,,Effect > SVG Filters > Apply SVG Filter...,Effekt > SVG-Filter > SVG-Filter anwenden …,Эффект > Фильтры SVG > Применить SVG-фильтр...
SVG Filter Import,FALSE,menu,,,Effect > SVG Filters > Import SVG Filter...,Effekt > SVG-Filter > SVG-Filter importieren …,Эффект > Фильтры SVG > Импортировать фильтр SVG...
Live Deform Arc,FALSE,menu,,,Effect > Warp > Arc...,Effekt > Verkrümmungsfilter > Bogen …,Эффект > Деформация > Дуга…
Live Deform Arc Lower,FALSE,menu,,,Effect > Warp > Arc Lower...,Effekt > Verkrümmungsfilter > Bogen unten …,Эффект > Деформация > Дуга вниз…
Live Deform Arc Upper,FALSE,menu,,,Effect > Warp > Arc Upper...,Effekt > Verkrümmungsfilter > Bogen oben …,Эффект > Деформация > Дуга вверх…
Live Deform Arch,FALSE,menu,,,Effect > Warp > Arch...,Effekt > Verkrümmungsfilter > Torbogen …,Эффект > Деформация > Арка…
Live Deform Bulge,FALSE,menu,,,Effect > Warp > Bulge...,Effekt > Verkrümmungsfilter > Wulst …,Эффект > Деформация > Выпуклость…
Live Deform Shell Lower,FALSE,menu,,,Effect > Warp > Shell Lower...,Effekt > Verkrümmungsfilter > Muschel unten …,Эффект > Деформация > Панцирь вниз…
Live Deform Shell Upper,FALSE,menu,,,Effect > Warp > Shell Upper...,Effekt > Verkrümmungsfilter > Muschel oben …,Эффект > Деформация > Панцирь вверх…
Live Deform Flag,FALSE,menu,,,Effect > Warp > Flag...,Effekt > Verkrümmungsfilter > Flagge …,Эффект > Деформация > Флаг…
Live Deform Wave,FALSE,menu,,,Effect > Warp > Wave...,Effekt > Verkrümmungsfilter > Schwingungen …,Эффект > Деформация > Волна…
Live Deform Fish,FALSE,menu,,,Effect > Warp > Fish...,Effekt > Verkrümmungsfilter > Fisch …,Эффект > Деформация > Рыба…
Live Deform Rise,FALSE,menu,,,Effect > Warp > Rise...,Effekt > Verkrümmungsfilter > Ansteigend …,Эффект > Деформация > Подъем…
Live Deform Fisheye,FALSE,menu,,,Effect > Warp > Fisheye...,Effekt > Verkrümmungsfilter > Fischauge …,Эффект > Деформация > Рыбий глаз…
Live Deform Inflate,FALSE,menu,,,Effect > Warp > Inflate...,Effekt > Verkrümmungsfilter > Aufblasen …,Эффект > Деформация > Раздувание…
Live Deform Squeeze,FALSE,menu,,,Effect > Warp > Squeeze...,Effekt > Verkrümmungsfilter > Stauchen …,Эффект > Деформация > Сжатие…
Live Deform Twist,FALSE,menu,,,Effect > Warp > Twist...,Effekt > Verkrümmungsfilter > Wirbel …,Эффект > Деформация > Скручивание…
Live PSAdapter_plugin_GEfc,FALSE,menu,,,Effect > Effect Gallery...,Effekt > Effekte-Galerie …,Эффект > Галерея эффектов…
Live PSAdapter_plugin_ClrP,FALSE,menu,,,Effect > Artistic > Colored Pencil...,Effekt > Kunstfilter > Buntstiftschraffur …,Эффект > Имитация > Цветные карандаши…
Live PSAdapter_plugin_Ct,FALSE,menu,,,Effect > Artistic > Cutout...,Effekt > Kunstfilter > Farbpapier-Collage …,Эффект > Имитация > Аппликация…
Live PSAdapter_plugin_DryB,FALSE,menu,,,Effect > Artistic > Dry Brush...,Effekt > Kunstfilter > Grobe Malerei …,Эффект > Имитация > Сухая кисть…
Live PSAdapter_plugin_FlmG,FALSE,menu,,,Effect > Artistic > Film Grain...,Effekt > Kunstfilter > Körnung & Aufhellung …,Эффект > Имитация > Зернистость пленки…
Live PSAdapter_plugin_Frsc,FALSE,menu,,,Effect > Artistic > Fresco...,Effekt > Kunstfilter > Fresko …,Эффект > Имитация > Фреска…
Live PSAdapter_plugin_NGlw,FALSE,menu,,,Effect > Artistic > Neon Glow...,Effekt > Kunstfilter > Neonschein …,Эффект > Имитация > Неоновый свет…
Live PSAdapter_plugin_PntD,FALSE,menu,,,Effect > Artistic > Paint Daubs...,Effekt > Kunstfilter > Ölfarbe getupft …,Эффект > Имитация > Масляная живопись…
Live PSAdapter_plugin_PltK,FALSE,menu,,,Effect > Artistic > Palette Knife...,Effekt > Kunstfilter > Malmesser …,Эффект > Имитация > Шпатель…
Live PSAdapter_plugin_PlsW,FALSE,menu,,,Effect > Artistic > Plastic Wrap...,Effekt > Kunstfilter > Kunststofffolie …,Эффект > Имитация > Целлофановая упаковка…
Live PSAdapter_plugin_PstE,FALSE,menu,,,Effect > Artistic > Poster Edges...,Effekt > Kunstfilter > Tontrennung & Kantenbetonung …,Эффект > Имитация > Очерченные края…
Live PSAdapter_plugin_RghP,FALSE,menu,,,Effect > Artistic > Rough Pastels...,Effekt > Kunstfilter > Grobes Pastell …,Эффект > Имитация > Пастель…
Live PSAdapter_plugin_SmdS,FALSE,menu,,,Effect > Artistic > Smudge Stick...,Effekt > Kunstfilter > Diagonal verwischen …,Эффект > Имитация > Растушевка…
Live PSAdapter_plugin_Spng,FALSE,menu,,,Effect > Artistic > Sponge...,Effekt > Kunstfilter > Schwamm …,Эффект > Имитация > Губка…
Live PSAdapter_plugin_Undr,FALSE,menu,,,Effect > Artistic > Underpainting...,Effekt > Kunstfilter > Malgrund …,Эффект > Имитация > Рисование на обороте…
Live PSAdapter_plugin_Wtrc,FALSE,menu,,,Effect > Artistic > Watercolor...,Effekt > Kunstfilter > Aquarell …,Эффект > Имитация > Акварель…
Live Adobe PSL Gaussian Blur,FALSE,menu,,,Effect > Blur > Gaussian Blur...,Effekt > Weichzeichnungsfilter > Gaußscher Weichzeichner …,Эффект > Размытие > Размытие по Гауссу...
Live PSAdapter_plugin_RdlB,FALSE,menu,,,Effect > Blur > Radial Blur...,Effekt > Weichzeichnungsfilter > Radialer Weichzeichner …,Эффект > Размытие > Радиальное размытие...
Live PSAdapter_plugin_SmrB,FALSE,menu,,,Effect > Blur > Smart Blur...,Effekt > Weichzeichnungsfilter > Selektiver Weichzeichner …,Эффект > Размытие > Умное размытие...
Live PSAdapter_plugin_AccE,FALSE,menu,,,Effect > Brush Strokes > Accented Edges...,Effekt > Malfilter > Kanten betonen …,Эффект > Штрихи > Акцент на краях…
Live PSAdapter_plugin_AngS,FALSE,menu,,,Effect > Brush Strokes > Angled Strokes...,Effekt > Malfilter > Gekreuzte Malstriche …,Эффект > Штрихи > Наклонные штрихи…
Live PSAdapter_plugin_Crsh,FALSE,menu,,,Effect > Brush Strokes > Crosshatch...,Effekt > Malfilter > Kreuzschraffur …,Эффект > Штрихи > Перекрестные штрихи…
Live PSAdapter_plugin_DrkS,FALSE,menu,,,Effect > Brush Strokes > Dark Strokes...,Effekt > Malfilter > Dunkle Malstriche …,Эффект > Штрихи > Темные штрихи…
Live PSAdapter_plugin_InkO,FALSE,menu,,,Effect > Brush Strokes > Ink Outlines...,Effekt > Malfilter > Konturen mit Tinte nachzeichnen …,Эффект > Штрихи > Обводка…
Live PSAdapter_plugin_Spt,FALSE,menu,,,Effect > Brush Strokes > Spatter...,Effekt > Malfilter > Spritzer …,Эффект > Штрихи > Разбрызгивание…
Live PSAdapter_plugin_SprS,FALSE,menu,,,Effect > Brush Strokes > Sprayed Strokes...,Effekt > Malfilter > Verwackelte Striche …,Эффект > Штрихи > Аэрограф…
Live PSAdapter_plugin_Smie,FALSE,menu,,,Effect > Brush Strokes > Sumi-e...,Effekt > Malfilter > Sumi-e …,Эффект > Штрихи > Суми-э…
Live PSAdapter_plugin_DfsG,FALSE,menu,,,Effect > Distort > Diffuse Glow...,Effekt > Verzerrungsfilter > Weiches Licht …,Эффект > Искажение > Рассеянное свечение…
Live PSAdapter_plugin_Gls,FALSE,menu,,,Effect > Distort > Glass...,Effekt > Verzerrungsfilter > Glas …,Эффект > Искажение > Стекло…
Live PSAdapter_plugin_OcnR,FALSE,menu,,,Effect > Distort > Ocean Ripple...,Effekt > Verzerrungsfilter > Ozeanwellen …,Эффект > Искажение > Океанские волны…
Live PSAdapter_plugin_ClrH,FALSE,menu,,,Effect > Pixelate > Color Halftone...,Effekt > Vergröberungsfilter > Farbraster …,Эффект > Оформление > Цветные полутона…
Live PSAdapter_plugin_Crst,FALSE,menu,,,Effect > Pixelate > Crystallize...,Effekt > Vergröberungsfilter > Kristallisieren …,Эффект > Оформление > Кристаллизация…
Live PSAdapter_plugin_Mztn,FALSE,menu,,,Effect > Pixelate > Mezzotint...,Effekt > Vergröberungsfilter > Mezzotint …,Эффект > Оформление > Меццо-тинто…
Live PSAdapter_plugin_Pntl,FALSE,menu,,,Effect > Pixelate > Pointillize...,Effekt > Vergröberungsfilter > Punktieren …,Эффект > Оформление > Пуантилизм…
Live PSAdapter_plugin_BsRl,FALSE,menu,,,Effect > Sketch > Bas Relief...,Effekt > Zeichenfilter > Basrelief …,Эффект > Эскиз > Рельеф…
Live PSAdapter_plugin_ChlC,FALSE,menu,,,Effect > Sketch > Chalk & Charcoal...,Effekt > Zeichenfilter > Chalk & Charcoal …,Эффект > Эскиз > Мел и уголь…
Live PSAdapter_plugin_Chrc,FALSE,menu,,,Effect > Sketch > Charcoal...,Effekt > Zeichenfilter > Kohleumsetzung …,Эффект > Эскиз > Уголь…
Live PSAdapter_plugin_Chrm,FALSE,menu,,,Effect > Sketch > Chrome...,Effekt > Zeichenfilter > Chrom …,Эффект > Эскиз > Хром…
Live PSAdapter_plugin_CntC,FALSE,menu,,,Effect > Sketch > Cont\u00E9 Crayon...,Effekt > Zeichenfilter > Cont\u00E9-Stifte …,Эффект > Эскиз > Волшебный карандаш…
Live PSAdapter_plugin_GraP,FALSE,menu,,,Effect > Sketch > Graphic Pen...,Effekt > Zeichenfilter > Strichumsetzung …,Эффект > Эскиз > Тушь…
Live PSAdapter_plugin_HlfS,FALSE,menu,,,Effect > Sketch > Halftone Pattern...,Effekt > Zeichenfilter > Rasterungseffekt …,Эффект > Эскиз > Полутоновый узор…
Live PSAdapter_plugin_NtPr,FALSE,menu,,,Effect > Sketch > Note Paper...,Effekt > Zeichenfilter > Prägepapier …,Эффект > Эскиз > Почтовая бумага…
Live PSAdapter_plugin_Phtc,FALSE,menu,,,Effect > Sketch > Photocopy...,Effekt > Zeichenfilter > Fotokopie …,Эффект > Эскиз > Ксерокопия…
Live PSAdapter_plugin_Plst,FALSE,menu,,,Effect > Sketch > Plaster...,Effekt > Zeichenfilter > Stuck …,Эффект > Эскиз > Гипс…
Live PSAdapter_plugin_Rtcl,FALSE,menu,,,Effect > Sketch > Reticulation...,Effekt > Zeichenfilter > Punktierstich …,Эффект > Эскиз > Ретикуляция…
Live PSAdapter_plugin_Stmp,FALSE,menu,,,Effect > Sketch > Stamp...,Effekt > Zeichenfilter > Stempel …,Эффект > Эскиз > Линогравюра…
Live PSAdapter_plugin_TrnE,FALSE,menu,,,Effect > Sketch > Torn Edges...,Effekt > Zeichenfilter > Gerissene Kanten …,Эффект > Эскиз > Рваные края…
Live PSAdapter_plugin_WtrP,FALSE,menu,,,Effect > Sketch > Water Paper...,Effekt > Zeichenfilter > Feuchtes Papier …,Эффект > Эскиз > Мокрая бумага…
Live PSAdapter_plugin_GlwE,FALSE,menu,,,Effect > Stylize > Glowing Edges...,Effekt > Stilisierungsfilter > Leuchtende Konturen …,Эффект > Стилизация > Свечение краев…
Live PSAdapter_plugin_Crql,FALSE,menu,,,Effect > Texture > Craquelure...,Effekt > Strukturierungsfilter > Risse …,Эффект > Текстура > Кракелюры…
Live PSAdapter_plugin_Grn,FALSE,menu,,,Effect > Texture > Grain...,Effekt > Strukturierungsfilter > Körnung …,Эффект > Текстура > Зерно…
Live PSAdapter_plugin_MscT,FALSE,menu,,,Effect > Texture > Mosaic Tiles...,Effekt > Strukturierungsfilter > Kacheln …,Эффект > Текстура > Мозаичные фрагменты…
Live PSAdapter_plugin_Ptch,FALSE,menu,,,Effect > Texture > Patchwork...,Effekt > Strukturierungsfilter > Patchwork …,Эффект > Текстура > Цветная плитка…
Live PSAdapter_plugin_StnG,FALSE,menu,,,Effect > Texture > Stained Glass...,Effekt > Strukturierungsfilter > Buntglas-Mosaik …,Эффект > Текстура > Витраж…
Live PSAdapter_plugin_Txtz,FALSE,menu,,,Effect > Texture > Texturizer...,Effekt > Strukturierungsfilter > Mit Struktur versehen …,Эффект > Текстура > Текстуризатор…
Live PSAdapter_plugin_Dntr,FALSE,menu,,,Effect > Video > De-Interlace...,Effekt > Videofilter > De-Interlace …,Эффект > Видео > Устранение чересстрочной развертки...
Live PSAdapter_plugin_NTSC,FALSE,menu,,,Effect > Video > NTSC Colors,Effekt > Videofilter > NTSC-Farben,Эффект > Видео > Цвета NTSC
preview,FALSE,menu,,,View > Outline / Preview,Ansicht > Vorschau / Pfadansicht,Просмотр > Контуры / Иллюстрация
GPU Preview,FALSE,menu,,,View > GPU Preview / Preview on CPU,Ansicht > Mit GPU anzeigen / Mit CPU anzeigen,Просмотр > Просмотр с использованием ЦП / ГП
ink,FALSE,menu,,,View > Overprint Preview,Ansicht > Überdruckenvorschau,Просмотр > Просмотр наложения цветов
raster,FALSE,menu,,,View > Pixel Preview,Ansicht > Pixelvorschau,Просмотр > Просмотр в виде пикселов
proof-document,FALSE,menu,,,View > Proof Setup > Working CMYK,Ansicht > Proof einrichten > Dokument-CMYK,Просмотр > Параметры цветопробы > Рабочее пространство CMYK
