key,type,,maxVersion,en,de,ru
Selection Hat 2,menu,,,Object > Arrange > Send to Current Layer,Objekt > Anordnen > In aktuelle Ebene verschieben,Объект > Монтаж > Отправить на текущий слой
Horizontal Align Left,menu,24,,Object > Align > Horizontal Align Left,Objekt > Ausrichten > Horizontal links ausrichten,"Объект > Выравнивание > Горизонтальное выравнивание, влево"
Horizontal Align Center,menu,24,,Object > Align > Horizontal Align Center,Objekt > Ausrichten > Horizontal zentriert ausrichten,"Объект > Выравнивание > Горизонтальное выравнивание, центр"
Horizontal Align Right,menu,24,,Object > Align > Horizontal Align Right,Objekt > Ausrichten > Horizontal rechts ausrichten,"Объект > Выравнивание > Горизонтальное выравнивание, вправо"
Vertical Align Top,menu,24,,Object > Align > Vertical Align Top,Objekt > Ausrichten > Vertikal oben ausrichten,"Объект > Выравнивание > Вертикальное выравнивание, вверх"
Vertical Align Center,menu,24,,Object > Align > Vertical Align Center,Objekt > Ausrichten > Vertikal zentriert ausrichten,"Объект > Выравнивание > Вертикальное выравнивание, центр"
Vertical Align Bottom,menu,24,,Object > Align > Vertical Align Bottom,Objekt > Ausrichten > Vertikal unten ausrichten,"Объект > Выравнивание > Вертикальное выравнивание, вниз"
group,menu,,,Object > Group,Objekt > Gruppieren,Объект > Сгруппировать
ungroup,menu,,,Object > Ungroup,Objekt > Gruppierung aufheben,Объект > Разгруппировать
lock,menu,,,Object > Lock > Selection,Objekt > Sperren > Auswahl,Объект > Закрепить > Выделенное
Selection Hat 5,menu,,,Object > Lock > All Artwork Above,Objekt > Sperren > Sämtliches Bildmaterial darüber,Объект > Закрепить > Все объекты выше
Selection Hat 7,menu,,,Object > Lock > Other Layers,Objekt > Sperren > Andere Ebenen,Объект > Закрепить > Остальные слои
unlockAll,menu,,,Object > Unlock All,Objekt > Alle entsperren,Объект > Освободить все
hide,menu,,,Object > Hide > Selection,Objekt > Ausblenden > Auswahl,Объект > Скрыть > Выделенное
Selection Hat 4,menu,,,Object > Hide > All Artwork Above,Objekt > Ausblenden > Sämtliches Bildmaterial darüber,Объект > Скрыть > Все объекты выше
Selection Hat 6,menu,,,Object > Hide > Other Layers,Objekt > Ausblenden > Andere Ebenen,Объект > Скрыть > Остальные слои
showAll,menu,,,Object > Show All,Objekt > Alles einblenden,Объект > Показать все
Crop Image,menu,23,,Object > Crop Image,Objekt > Bild zuschneiden,Объект > Обрезать изображение
Rasterize 8 menu item,menu,,,Object > Rasterize...,Objekt > In Pixelbild umwandeln …,Объект > Растрировать...
make mesh,menu,,,Object > Create Gradient Mesh...,Objekt > Verlaufsgitter erstellen …,Объект > Создать сетчатый градиент...
AI Object Mosaic Plug-in4,menu,,,Object > Create Object Mosaic...,Objekt > Objektmosaik erstellen …,Объект > Создать фрагментацию...
TrimMark v25,menu,,,Object > Create Trim Marks...,Objekt > Schnittmarken erstellen,Объект > Создать метки обреза
Flatten Transparency,menu,,,Object > Flatten Transparency...,Objekt > Transparenz reduzieren …,Объект > Обработка прозрачности...
Make Pixel Perfect,menu,,,Object > Make Pixel Perfect,Objekt > Pixelgenaue Darstellung anwenden,Объект > Коррекция на уровне пикселов
AISlice Make Slice,menu,,,Object > Slice > Make,Objekt > Slice > Erstellen,Объект > Фрагменты > Создать
AISlice Release Slice,menu,,,Object > Slice > Release,Objekt > Slice > Zurückwandeln,Объект > Фрагменты > Расформировать
AISlice Create from Guides,menu,,,Object > Slice > Create from Guides,Objekt > Slice > Aus Hilfslinien erstellen,Объект > Фрагменты > Создать по направляющим
AISlice Create from Selection,menu,,,Object > Slice > Create from Selection,Objekt > Slice > Aus Auswahl erstellen,Объект > Фрагменты > Создать по выделенной области
AISlice Duplicate,menu,,,Object > Slice > Duplicate Slice,Objekt > Slice > Slice duplizieren,Объект > Фрагменты > Создать дубликат фрагмента
AISlice Combine,menu,,,Object > Slice > Combine Slices,Objekt > Slice > Slices kombinieren,Объект > Фрагменты > Объединить фрагменты
AISlice Divide,menu,,,Object > Slice > Divide Slices...,Objekt > Slice > Slices unterteilen …,Объект > Фрагменты > Разделить фрагменты...
AISlice Delete All Slices,menu,,,Object > Slice > Delete All,Objekt > Slice > Alle löschen,Объект > Фрагменты > Удалить все
AISlice Slice Options,menu,,,Object > Slice > Slice Options...,Objekt > Slice > Slice-Optionen …,Объект > Фрагменты > Параметры фрагмента...
AISlice Clip to Artboard,menu,,,Object > Slice > Clip to Artboard,Objekt > Slice > Ganze Zeichenfläche exportieren,Объект > Фрагменты > Обрезать по монтажной области
Expand3,menu,,,Object > Expand...,Objekt > Umwandeln …,Объект > Разобрать…
expandStyle,menu,,,Object > Expand Appearance,Objekt > Aussehen umwandeln,Объект > Разобрать оформление
join,menu,,,Object > Path > Join,Objekt > Pfad > Zusammenfügen,Объект > Контур > Соединить
average,menu,,,Object > Path > Average...,Objekt > Pfad > Durchschnitt berechnen …,Объект > Контур > Усреднить…
OffsetPath v22,menu,,,Object > Path > Outline Stroke,Objekt > Pfad > Konturlinie,Объект > Контур > Преобразовать обводку в кривые
OffsetPath v23,menu,,,Object > Path > Offset Path...,Objekt > Pfad > Pfad verschieben …,Объект > Контур > Создать параллельный контур…
Reverse Path Direction,menu,21,,Object > Path > Reverse Path Direction,Objekt > Pfad > Pfadrichtung umkehren,Объект > Контур > Изменение направления контура
simplify menu item,menu,,,Object > Path > Simplify...,Objekt > Pfad > Vereinfachen …,Объект > Контур > Упростить…
Add Anchor Points2,menu,,,Object > Path > Add Anchor Points,Objekt > Pfad > Ankerpunkte hinzufügen,Объект > Контур > Добавить опорные точки
Remove Anchor Points menu,menu,,,Object > Path > Remove Anchor Points,Objekt > Pfad > Ankerpunkte entfernen,Объект > Контур > Удалить опорные точки
Knife Tool2,menu,,,Object > Path > Divide Objects Below,Objekt > Pfad > Darunter liegende Objekte aufteilen,Объект > Контур > Разделить нижние объекты
Rows and Columns....,menu,,,Object > Path > Split Into Grid...,Objekt > Pfad > In Raster teilen …,Объект > Контур > Создать сетку...
cleanup menu item,menu,,,Object > Path > Clean Up...,Objekt > Pfad > Aufräumen …,Объект > Контур > Вычистить…
Convert to Shape,menu,18,,Object > Shape > Convert to Shapes,Objekt > Form > In Form umwandeln,Объект > Фигура > Преобразовать в фигуры
Expand Shape,menu,18,,Object > Shape > Expand Shapes,Objekt > Form > Form umwandeln,Объект > Фигура > Разобрать фигуру
Adobe Make Pattern,menu,,,Object > Pattern > Make,Objekt > Muster > Erstellen,Объект > Узор > Создать
Adobe Edit Pattern,menu,,,Object > Pattern > Edit Pattern,Objekt > Muster > Muster bearbeiten,Объект > Узор > Редактировать узор
Adobe Pattern Tile Color,menu,,,Object > Pattern > Tile Edge Color...,Objekt > Muster > Farbe für Musterelement-Kante,Объект > Узор > Цвет края элемента...
Make Radial Repeat,menu,25.1,,Object > Repeat > Make Radial,Objekt > Wiederholen > Radial,Объект > Повторить > Радиальный
Make Grid Repeat,menu,25.1,,Object > Repeat > Make Grid,Objekt > Wiederholen > Raster,Объект > Повторить > Сетка
Make Symmetry Repeat,menu,25.1,,Object > Repeat > Make Symmetry,Objekt > Wiederholen > Spiegeln,Объект > Повторить > Зеркально
Release Repeat Art,menu,25.1,,Object > Repeat > Release,Objekt > Wiederholen > Zurückwandeln,Объект > Повторить > Освободить
Repeat Art Options,menu,25.1,,Object > Repeat > Repeat Art Options...,Objekt > Wiederholen > Optionen …,Объект > Повторить > Параметры…
Path Blend Make,menu,,,Object > Blend > Make,Objekt > Angleichen > Erstellen,Объект > Переход > Создать
Path Blend Release,menu,,,Object > Blend > Release,Objekt > Angleichen > Zurückwandeln,Объект > Переход > Отменить
Path Blend Options,menu,,,Object > Blend > Blend Options...,Objekt > Angleichen > Angleichung-Optionen …,Объект > Переход > Параметры перехода…
Path Blend Expand,menu,,,Object > Blend > Expand,Objekt > Angleichen > Umwandeln,Объект > Переход > Разобрать
Path Blend Replace Spine,menu,,,Object > Blend > Replace Spine,Objekt > Angleichen > Achse ersetzen,Объект > Переход > Заменить траекторию
Path Blend Reverse Spine,menu,,,Object > Blend > Reverse Spine,Objekt > Angleichen > Achse umkehren,Объект > Переход > Изменить направление
Path Blend Reverse Stack,menu,,,Object > Blend > Reverse Front to Back,Objekt > Angleichen > Farbrichtung umkehren,Объект > Переход > Изменить порядок
Make Warp,menu,,,Object > Envelope Distort > Make with Warp...,Objekt > Verzerrungshülle > Mit Verkrümmung erstellen …,Объект > Искажение с помощью оболочки > Деформация...
Create Envelope Grid,menu,,,Object > Envelope Distort > Make with Mesh...,Objekt > Verzerrungshülle > Mit Gitter erstellen …,Объект > Искажение с помощью оболочки > По сетке...
Make Envelope,menu,,,Object > Envelope Distort > Make with Top Object,Objekt > Verzerrungshülle > Mit oberstem Objekt erstellen,Объект > Искажение с помощью оболочки > По форме верхнего объекта
Release Envelope,menu,,,Object > Envelope Distort > Release,Objekt > Verzerrungshülle > Zurückwandeln,Объект > Искажение с помощью оболочки > Отделить
Envelope Options,menu,,,Object > Envelope Distort > Envelope Options...,Objekt > Verzerrungshülle > Hüllen-Optionen …,Объект > Искажение с помощью оболочки > Параметры оболочки...
Expand Envelope,menu,,,Object > Envelope Distort > Expand,Objekt > Verzerrungshülle > Umwandeln,Объект > Искажение с помощью оболочки > Разобрать
Edit Envelope Contents,menu,,,Object > Envelope Distort > Edit Contents,Objekt > Verzerrungshülle > Inhalt bearbeiten,Объект > Искажение с помощью оболочки > Редактировать содержимое
Attach to Active Plane,menu,,,Object > Perspective > Attach to Active Plane,Objekt > Perspektive > Aktiver Ebene anhängen,Объект > Перспектива > Прикрепить к активной плоскости
Release with Perspective,menu,,,Object > Perspective > Release with Perspective,Objekt > Perspektive > Aus Perspektive freigeben,Объект > Перспектива > Открепить с сохранением перспективы
Show Object Grid Plane,menu,,,Object > Perspective > Move Plane to Match Object,Objekt > Perspektive > Ebene an Objekt ausrichten,Объект > Перспектива > Переместить плоскость для подгонки по объекту
Edit Original Object,menu,,,Object > Perspective > Edit Text,Objekt > Perspektive > Text bearbeiten,Объект > Перспектива > Редактировать текст
Make Planet X,menu,,,Object > Live Paint > Make,Objekt > Interaktiv malen > Erstellen,Объект > Быстрая заливка > Создать
Marge Planet X,menu,,,Object > Live Paint > Merge,Objekt > Interaktiv malen > Zusammenfügen,Объект > Быстрая заливка > Объединить
Release Planet X,menu,,,Object > Live Paint > Release,Objekt > Interaktiv malen > Zurückwandeln,Объект > Быстрая заливка > Расформировать
Planet X Options,menu,,,Object > Live Paint > Gap Options...,Objekt > Interaktiv malen > Lückenoptionen …,Объект > Быстрая заливка > Параметры зазоров…
Expand Planet X,menu,,,Object > Live Paint > Expand,Objekt > Interaktiv malen > Umwandeln,Объект > Быстрая заливка > Разобрать
Make Image Tracing,menu,,,Object > Image Trace > Make,Objekt > Bildnachzeichner > Erstellen,Объект > Трассировка изображения > Создать
Make and Expand Image Tracing,menu,,,Object > Image Trace > Make and Expand,Objekt > Bildnachzeichner > Erstellen und umwandeln,Объект > Трассировка изображения > Создать и разобрать
Release Image Tracing,menu,,,Object > Image Trace > Release,Objekt > Bildnachzeichner > Zurückwandeln,Объект > Трассировка изображения > Расформировать
Expand Image Tracing,menu,,,Object > Image Trace > Expand,Objekt > Bildnachzeichner > Umwandeln,Объект > Трассировка изображения > Разобрать
Make Text Wrap,menu,,,Object > Text Wrap > Make,Objekt > Textumfluss > Erstellen,Объект > Обтекание текстом > Создать
Release Text Wrap,menu,,,Object > Text Wrap > Release,Objekt > Textumfluss > Zurückwandeln,Объект > Обтекание текстом > Освободить
Text Wrap Options...,menu,,,Object > Text Wrap > Text Wrap Options...,Objekt > Textumfluss > Textumflussoptionen …,Объект > Обтекание текстом > Параметры обтекания текстом...
makeMask,menu,,,Object > Clipping Mask > Make,Objekt > Schnittmaske > Erstellen,Объект > Обтравочная маска > Создать
releaseMask,menu,,,Object > Clipping Mask > Release,Objekt > Schnittmaske > Zurückwandeln,Объект > Обтравочная маска > Отменить
editMask,menu,,,Object > Clipping Mask > Edit Mask,Objekt > Schnittmaske > Maske bearbeiten,Объект > Обтравочная маска > Редактировать маску
compoundPath,menu,,,Object > Compound Path > Make,Objekt > Zusammengesetzter Pfad > Erstellen,Объект > Составной контур > Создать
noCompoundPath,menu,,,Object > Compound Path > Release,Objekt > Zusammengesetzter Pfad > Zurückwandeln,Объект > Составной контур > Отменить
setCropMarks,menu,,,Object > Artboards > Convert to Artboards,Objekt > Zeichenflächen > In Zeichenflächen konvertieren,Объект > Монтажные области > Преобразовать в монтажные области
ReArrange Artboards,menu,,,Object > Artboards > Rearrange All Artboards,Objekt > Zeichenflächen > Alle Zeichenflächen neu anordnen,Объект > Монтажные области > Переупорядочить все монт. обл.
Fit Artboard to artwork bounds,menu,,,Object > Artboards > Fit to Artwork Bounds,Objekt > Zeichenflächen > An Bildmaterialbegrenzungen anpassen,Объект > Монтажные области > Подогнать по границам иллюстрации
Fit Artboard to selected Art,menu,,,Object > Artboards > Fit to Selected Art,Objekt > Zeichenflächen > An ausgewählte Grafik anpassen,Объект > Монтажные области > Подогнать по границам выделенной иллюстрации
setGraphStyle,menu,,,Object > Graph > Type...,Objekt > Diagramm > Art …,Объект > Диаграмма > Тип…
editGraphData,menu,,,Object > Graph > Data...,Objekt > Diagramm > Daten …,Объект > Диаграмма > Данные…
graphDesigns,menu,,,Object > Graph > Design...,Objekt > Diagramm > Designs …,Объект > Диаграмма > Оформление…
setBarDesign,menu,,,Object > Graph > Column...,Objekt > Diagramm > Balken …,Объект > Диаграмма > Столбец…
setIconDesign,menu,,,Object > Graph > Marker...,Objekt > Diagramm > Punkte …,Объект > Диаграмма > Маркер…
Browse Typekit Fonts Menu IllustratorUI,menu,17.1,,Type > More from Adobe Fonts...,Schrift > Mehr bei Adobe Fonts …,Текст > Найти больше в Adobe Fonts...
alternate glyph palette plugin,menu,,,Type > Glyphs,Schrift > Glyphen,Текст > Глифы
area-type-options,menu,,,Type > Area Type Options...,Schrift > Flächentextoptionen …,Текст > Параметры текста в области…
Rainbow,menu,,,Type > Type on a Path > Rainbow,Schrift > Pfadtext > Regenbogen,Текст > Текст по контуру > Радуга
Skew,menu,,,Type > Type on a Path > Skew,Schrift > Pfadtext > Asymmetrie,Текст > Текст по контуру > Наклон
3D ribbon,menu,,,Type > Type on a Path > 3D Ribbon,Schrift > Pfadtext > 3D-Band,Текст > Текст по контуру > Каскад
Stair Step,menu,,,Type > Type on a Path > Stair Step,Schrift > Pfadtext > Treppenstufe,Текст > Текст по контуру > Лесенка
Gravity,menu,,,Type > Type on a Path > Gravity,Schrift > Pfadtext > Schwerkraft,Текст > Текст по контуру > Гравитация
typeOnPathOptions,menu,,,Type > Type on a Path > Type on a Path Options...,Schrift > Pfadtext > Pfadtextoptionen …,Текст > Текст по контуру > Параметры текста по контуру...
updateLegacyTOP,menu,,,Type > Type on a Path > Update Legacy Type on a Path,Schrift > Pfadtext > Alten Pfadtext aktualisieren,Текст > Текст по контуру > Обновить прежнюю версию текста по контуру
threadTextCreate,menu,,,Type > Threaded Text > Create,Schrift > Verketteter Text > Erstellen,Текст > Связанные текстовые блоки > Связать
releaseThreadedTextSelection,menu,,,Type > Threaded Text > Release Selection,Schrift > Verketteter Text > Auswahl zurückwandeln,Текст > Связанные текстовые блоки > Исключить выделенные
removeThreading,menu,,,Type > Threaded Text > Remove Threading,Schrift > Verketteter Text > Verkettung entfernen,Текст > Связанные текстовые блоки > Удалить связь текстовых блоков
fitHeadline,menu,,,Type > Fit Headline,Schrift > Überschrift einpassen,Текст > Разогнать заголовок
Adobe IllustratorUI Resolve Missing Font,menu,,,Type > Resolve Missing Fonts...,Schrift > Fehlende Schriftarten auflösen …,Текст > Сопоставить отсутствующие шрифты...
Adobe Illustrator Find Font Menu Item,menu,,,Type > Find/Replace Font...,Schrift > Schriftart suchen/ersetzen …,Текст > Найти/заменить шрифт...
UpperCase Change Case Item,menu,,,Type > Change Case > UPPERCASE,Schrift > Groß-/Kleinschreibung ändern > GROSSBUCHSTABEN,Текст > Изменить регистр > ВСЕ ПРОПИСНЫЕ
LowerCase Change Case Item,menu,,,Type > Change Case > lowercase,Schrift > Groß-/Kleinschreibung ändern > kleinbuchstaben,Текст > Изменить регистр > все строчные
Title Case Change Case Item,menu,,,Type > Change Case > Title Case,Schrift > Groß-/Kleinschreibung ändern > Erster Buchstabe Im Wort Groß,Текст > Изменить регистр > Прописная В Начале Каждого Слова
Sentence case Change Case Item,menu,,,Type > Change Case > Sentence case,Schrift > Groß-/Kleinschreibung ändern > Erster buchstabe im satz groß,Текст > Изменить регистр > Прописная в начале предложения
Adobe Illustrator Smart Punctuation Menu Item,menu,,,Type > Smart Punctuation...,Schrift > Satz-/Sonderzeichen …,Текст > Типографская пунктуация...
outline,menu,,,Type > Create Outlines,Schrift > In Pfade umwandeln,Текст > Преобразовать в кривые
Adobe Optical Alignment Item,menu,,,Type > Optical Margin Alignment,Schrift > Optischer Randausgleich,Текст > Визуальное выравнивание полей
showHiddenChar,menu,,,Type > Show Hidden Characters,Schrift > Verborgene Zeichen einblenden / ausblenden,Текст > Показать скрытые символы
type-horizontal,menu,,,Type > Type Orientation > Horizontal,Schrift > Textausrichtung > Horizontal,Текст > Ориентация текста > Горизонтальная
type-vertical,menu,,,Type > Type Orientation > Vertical,Schrift > Textausrichtung > Vertikal,Текст > Ориентация текста > Вертикальная
selectall,menu,,,Select > All,Auswahl > Alles auswählen,Выделение > Все
selectallinartboard,menu,,,Select > All on Active Artboard,Auswahl > Alles auf der aktiven Zeichenfläche,Выделение > Все объекты в активной монтажной области
deselectall,menu,,,Select > Deselect,Auswahl > Auswahl aufheben,Выделение > Отменить выделение
Find Reselect menu item,menu,,,Select > Reselect,Auswahl > Erneut auswählen,Выделение > Выделить снова
Inverse menu item,menu,,,Select > Inverse,Auswahl > Auswahl umkehren,Выделение > Инверсия
Selection Hat 8,menu,,,Select > Next Object Above,Auswahl > Nächstes Objekt darüber,Выделение > Следующий объект сверху
Selection Hat 9,menu,,,Select > Next Object Below,Auswahl > Nächstes Objekt darunter,Выделение > Следующий объект снизу
Find Appearance menu item,menu,26,,Select > Same > Appearance,Auswahl > Gleich > Aussehen,Выделение > По общему признаку > Оформление
Find Appearance Attributes menu item,menu,26,,Select > Same > Appearance Attribute,Auswahl > Gleich > Aussehensattribute,Выделение > По общему признаку > Атрибуты оформления
Find Blending Mode menu item,menu,26,,Select > Same > Blending Mode,Auswahl > Gleich > Füllmethode,Выделение > По общему признаку > С одинаковым режимом наложения
Find Fill & Stroke menu item,menu,26,,Select > Same > Fill & Stroke,Auswahl > Gleich > Fläche und Kontur,Выделение > По общему признаку > С одинаковыми заливкой и обводкой
Find Fill Color menu item,menu,26,,Select > Same > Fill Color,Auswahl > Gleich > Flächenfarbe,Выделение > По общему признаку > С одинаковым цветом заливки
Find Opacity menu item,menu,26,,Select > Same > Opacity,Auswahl > Gleich > Deckkraft,Выделение > По общему признаку > С одинаковой непрозрачностью
Find Stroke Color menu item,menu,26,,Select > Same > Stroke Color,Auswahl > Gleich > Konturfarbe,Выделение > По общему признаку > С одинаковым цветом обводки
Find Stroke Weight menu item,menu,26,,Select > Same > Stroke Weight,Auswahl > Gleich > Konturstärke,Выделение > По общему признаку > С одинаковой толщиной обводки
Find Style menu item,menu,26,,Select > Same > Graphic Style,Auswahl > Gleich > Grafikstil,Выделение > По общему признаку > Стиль графики
Find Live Shape menu item,menu,26,,Select > Same > Shape,Auswahl > Gleich > Form,Выделение > По общему признаку > Фигура
Find Symbol Instance menu item,menu,26,,Select > Same > Symbol Instance,Auswahl > Gleich > Symbolinstanz,Выделение > По общему признаку > Одинаковые образцы символа
Find Link Block Series menu item,menu,26,,Select > Same > Link Block Series,Auswahl > Gleich > Verknüpfungsblockreihen,Выделение > По общему признаку > Последовательность связанных блоков
Find Text Font Family menu item,menu,26,,Select > Same > Font Family,Auswahl > Gleich > Schriftfamilie,Выделение > По общему признаку > Семейство шрифтов
Find Text Font Family Style menu item,menu,26,,Select > Same > Font Family & Style,Auswahl > Gleich > Schriftfamilie und -schnitt,Выделение > По общему признаку > Семейство и стиль шрифтов
Find Text Font Family Style Size menu item,menu,26,,"Select > Same > Font Family, Style & Size","Auswahl > Gleich > Schriftfamilie, -schnitt und -grad","Выделение > По общему признаку > Семейство, стиль и размер шрифтов"
Find Text Font Size menu item,menu,26,,Select > Same > Font Size,Auswahl > Gleich > Schriftgrad,Выделение > По общему признаку > Размер шрифта
Find Text Fill Color menu item,menu,26,,Select > Same > Text Fill Color,Auswahl > Gleich > Textflächenfarbe,Выделение > По общему признаку > Цвет заливки текста
Find Text Stroke Color menu item,menu,26,,Select > Same > Text Stroke Color,Auswahl > Gleich > Textkonturfarbe,Выделение > По общему признаку > Цвет обводки текста
Find Text Fill Stroke Color menu item,menu,26,,Select > Same > Text Fill & Stroke Color,Auswahl > Gleich > Textflächen- und -konturfarbe,Выделение > По общему признаку > Цвет заливки и обводки текста
Selection Hat 3,menu,,,Select > Object > All on Same Layers,Auswahl > Objekt > Alles auf denselben Ebenen,Выделение > По типу объектов > Все на этом же слое
Selection Hat 1,menu,,,Select > Object > Direction Handles,Auswahl > Objekt > Richtungsgriffe,Выделение > По типу объектов > Управляющие манипуляторы
Bristle Brush Strokes menu item,menu,,,Select > Object > Bristle Brush Strokes,Auswahl > Objekt > Borstenpinselstriche,Выделение > По типу объектов > Мазки для кисти из щетины
Brush Strokes menu item,menu,,,Select > Object > Brush Strokes,Auswahl > Objekt > Pinselkonturen,Выделение > По типу объектов > Мазки кисти
Clipping Masks menu item,menu,,,Select > Object > Clipping Masks,Auswahl > Objekt > Schnittmasken,Выделение > По типу объектов > Обтравочные маски
Stray Points menu item,menu,,,Select > Object > Stray Points,Auswahl > Objekt > Einzelne Ankerpunkte,Выделение > По типу объектов > Изолированные точки
Text Objects menu item,menu,,,Select > Object > All Text Objects,Auswahl > Objekt > Alle Textobjekte,Выделение > По типу объектов > Все объекты текста
Point Text Objects menu item,menu,,,Select > Object > Point Text Objects,Auswahl > Objekt > Punkttextobjekte,Выделение > По типу объектов > Объекты текста из точки
Area Text Objects menu item,menu,,,Select > Object > Area Text Objects,Auswahl > Objekt > Flächenttextobjekte,Выделение > По типу объектов > Объекты текста в области
SmartEdit Menu Item,menu,23,,Select > Start/Stop Global Edit,Auswahl > Globale Bearbeitung starten/anhalten,Выделение > Начать глобальное изменение
Selection Hat 10,menu,,,Select > Save Selection...,Auswahl > Auswahl speichern …,Выделение > Сохранить выделенную область…
Selection Hat 11,menu,,,Select > Edit Selection...,Auswahl > Auswahl bearbeiten …,Выделение > Редактировать выделенную область…
Adobe Apply Last Effect,menu,,,Effect > Apply Last Effect,Effekt > Letzten Effekt anwenden,Эффект > Применить последний эффект
Adobe Last Effect,menu,,,Effect > Last Effect,Effekt > Letzter Effekt,Эффект > Последний эффект
Live Rasterize Effect Setting,menu,,,Effect > Document Raster Effects Settings...,Effekt > Dokument-Rastereffekt-Einstellungen …,Эффект > Параметры растровых эффектов в документе...
Live Adobe Geometry3D Extrude,menu,26,,Effect > 3D and Materials > Extrude & Bevel...,Effekt > 3D und Materialien > Extrudieren und abgeflachte Kante …,Эффект > 3D и материалы > Вытягивание и фаска...
Live Adobe Geometry3D Revolve,menu,26,,Effect > 3D and Materials > Revolve...,Effekt > 3D und Materialien > Kreiseln …,Эффект > 3D и материалы > Вращение…
Live Adobe Geometry3D Inflate,menu,26,,Effect > 3D and Materials > Inflate...,Effekt > 3D und Materialien > Aufblasen …,Эффект > 3D и материалы > Раздувание…
Live Adobe Geometry3D Rotate,menu,26,,Effect > 3D and Materials > Rotate...,Effekt > 3D und Materialien > Drehen …,Эффект > 3D и материалы > Поворот…
Live Adobe Geometry3D Materials,menu,26,,Effect > 3D and Materials > Materials...,Effekt > 3D und Materialien > Materialien …,Эффект > 3D и материалы > Материалы…
Live 3DExtrude,menu,26,,Effect > 3D and Materials > 3D (Classic) > Extrude & Bevel (Classic)...,Effekt > 3D (klassisch) > Extrudieren und abgeflachte Kante (klassisch) …,Эффект > 3D (классическое) > Вытягивание и фаска (классический)…
Live 3DRevolve,menu,26,,Effect > 3D and Materials > 3D (Classic) > Revolve (Classic)...,Effekt > 3D (klassisch) > Kreiseln (klassisch) …,Эффект > 3D (классическое) > Вращение (классическое)…
Live 3DRotate,menu,26,,Effect > 3D and Materials > 3D (Classic) > Rotate (Classic)...,Effekt > 3D (klassisch) > Drehen (klassisch) …,Эффект > 3D (классическое) > Поворот (классический)…
Live Rectangle,menu,,,Effect > Convert to Shape > Rectangle...,Effekt > In Form umwandeln > Rechteck …,Эффект > Преобразовать в фигуру> Прямоугольник…
Live Rounded Rectangle,menu,,,Effect > Convert to Shape > Rounded Rectangle...,Effekt > In Form umwandeln > Abgerundetes Rechteck …,Эффект > Преобразовать в фигуру> Прямоугольник со скругленными углами…
Live Ellipse,menu,,,Effect > Convert to Shape > Ellipse...,Effekt > In Form umwandeln > Ellipse …,Эффект > Преобразовать в фигуру> Эллипс…
Live Trim Marks,menu,,,Effect > Crop Marks,Effekt > Schnittmarken,Эффект > Метки обрезки
Live Free Distort,menu,,,Effect > Distort & Transform > Free Distort...,Effekt > Verzerrungs- und Transformationsfilter > Frei verzerren …,Эффект > Исказить и трансформировать > Произвольное искажение...
Live Pucker & Bloat,menu,,,Effect > Distort & Transform > Pucker & Bloat...,Effekt > Verzerrungs- und Transformationsfilter > Zusammenziehen und aufblasen …,Эффект > Исказить и трансформировать > Втягивание и раздувание...
Live Roughen,menu,,,Effect > Distort & Transform > Roughen...,Effekt > Verzerrungs- und Transformationsfilter > Aufrauen …,Эффект > Исказить и трансформировать > Огрубление...
Live Transform,menu,,,Effect > Distort & Transform > Transform...,Effekt > Verzerrungs- und Transformationsfilter > Transformieren …,Эффект > Исказить и трансформировать > Трансформировать...
Live Scribble and Tweak,menu,,,Effect > Distort & Transform > Tweak...,Effekt > Verzerrungs- und Transformationsfilter > Tweak …,Эффект > Исказить и трансформировать > Помарки...
Live Twist,menu,,,Effect > Distort & Transform > Twist...,Effekt > Verzerrungs- und Transformationsfilter > Wirbel …,Эффект > Исказить и трансформировать > Скручивание...
Live Zig Zag,menu,,,Effect > Distort & Transform > Zig Zag...,Effekt > Verzerrungs- und Transformationsfilter > Zickzack …,Эффект > Исказить и трансформировать > Зигзаг...
Live Offset Path,menu,,,Effect > Path > Offset Path...,Effekt > Pfad > Pfad verschieben …,Эффект > Контур > Создать параллельный контур...
Live Outline Object,menu,,,Effect > Path > Outline Object,Effekt > Pfad > Kontur nachzeichnen,Эффект > Контур > Контурный объект
Live Outline Stroke,menu,,,Effect > Path > Outline Stroke,Effekt > Pfad > Konturlinie,Эффект > Контур > Преобразовать обводку в кривые
Live Pathfinder Add,menu,,,Effect > Pathfinder > Add,Effekt > Pathfinder > Hinzufügen,Эффект > Обработка контуров > Добавить
Live Pathfinder Intersect,menu,,,Effect > Pathfinder > Intersect,Effekt > Pathfinder > Schnittmenge bilden,Эффект > Обработка контуров > Пересечение
Live Pathfinder Exclude,menu,,,Effect > Pathfinder > Exclude,Effekt > Pathfinder > Schnittmenge entfernen,Эффект > Обработка контуров > Исключение
Live Pathfinder Subtract,menu,,,Effect > Pathfinder > Subtract,Effekt > Pathfinder > Subtrahieren,Эффект > Обработка контуров > Вычитание
Live Pathfinder Minus Back,menu,,,Effect > Pathfinder > Minus Back,Effekt > Pathfinder > Hinteres Objekt abziehen,Эффект > Обработка контуров > Минус нижний
Live Pathfinder Divide,menu,,,Effect > Pathfinder > Divide,Effekt > Pathfinder > Unterteilen,Эффект > Обработка контуров > Разделение
Live Pathfinder Trim,menu,,,Effect > Pathfinder > Trim,Effekt > Pathfinder > Überlappungsbereich entfernen,Эффект > Обработка контуров > Обрезка
