English,Translation
Effect > Artistic > Rough Pastels...,Effekt > Kunstfilter > Grobes Pastell …
Effect > Artistic > Smudge Stick...,Effekt > Kunstfilter > Diagonal verwischen …
Effect > Artistic > Sponge...,Effekt > Kunstfilter > Schwamm …
Effect > Artistic > Underpainting...,Effekt > Kunstfilter > Malgrund …
Effect > Artistic > Watercolor...,Effekt > Kunstfilter > Aquarell …
Effect > Blur > Gaussian Blur...,Effekt > Weichzeichnungsfilter > Gaußscher Weichzeichner …
Effect > Blur > Radial Blur...,Effekt > Weichzeichnungsfilter > Radialer Weichzeichner …
Effect > Blur > Smart Blur...,Effekt > Weichzeichnungsfilter > Selektiver Weichzeichner …
Effect > Brush Strokes > Accented Edges...,Effekt > Malfilter > Kanten betonen …
Effect > Brush Strokes > Angled Strokes...,Effekt > Malfilter > Gekreuzte Malstriche …
Effect > Brush Strokes > Crosshatch...,Effekt > Malfilter > Kreuzschraffur …
Effect > Brush Strokes > Dark Strokes...,Effekt > Malfilter > Dunkle Malstriche …
Effect > Brush Strokes > Ink Outlines...,Effekt > Malfilter > Konturen mit Tinte nachzeichnen …
Effect > Brush Strokes > Spatter...,Effekt > Malfilter > Spritzer …
Effect > Brush Strokes > Sprayed Strokes...,Effekt > Malfilter > Verwackelte Striche …
Effect > Brush Strokes > Sumi-e...,Effekt > Malfilter > Sumi-e …
Effect > Distort > Diffuse Glow...,Effekt > Verzerrungsfilter > Weiches Licht …
Effect > Distort > Glass...,Effekt > Verzerrungsfilter > Glas …
Effect > Distort > Ocean Ripple...,Effekt > Verzerrungsfilter > Ozeanwellen …
Effect > Pixelate > Color Halftone...,Effekt > Vergröberungsfilter > Farbraster …
Effect > Pixelate > Crystallize...,Effekt > Vergröberungsfilter > Kristallisieren …
Effect > Pixelate > Mezzotint...,Effekt > Vergröberungsfilter > Mezzotint …
Effect > Pixelate > Pointillize...,Effekt > Vergröberungsfilter > Punktieren …
Effect > Sketch > Bas Relief...,Effekt > Zeichenfilter > Basrelief …
Effect > Sketch > Chalk & Charcoal...,Effekt > Zeichenfilter > Chalk & Charcoal …
Effect > Sketch > Charcoal...,Effekt > Zeichenfilter > Kohleumsetzung …
Effect > Sketch > Chrome...,Effekt > Zeichenfilter > Chrom …
Effect > Sketch > Cont\u00E9 Crayon...,Effekt > Zeichenfilter > Conté-Stifte …
Effect > Sketch > Graphic Pen...,Effekt > Zeichenfilter > Strichumsetzung …
Effect > Sketch > Halftone Pattern...,Effekt > Zeichenfilter > Rasterungseffekt …
Effect > Sketch > Note Paper...,Effekt > Zeichenfilter > Prägepapier …
Effect > Sketch > Photocopy...,Effekt > Zeichenfilter > Fotokopie …
Effect > Sketch > Plaster...,Effekt > Zeichenfilter > Stuck …
Effect > Sketch > Reticulation...,Effekt > Zeichenfilter > Punktierstich …
Effect > Sketch > Stamp...,Effekt > Zeichenfilter > Stempel …
Effect > Sketch > Torn Edges...,Effekt > Zeichenfilter > Gerissene Kanten …
Effect > Sketch > Water Paper...,Effekt > Zeichenfilter > Feuchtes Papier …
Effect > Stylize > Glowing Edges...,Effekt > Stilisierungsfilter > Leuchtende Konturen …
Effect > Texture > Craquelure...,Effekt > Strukturierungsfilter > Risse …
Effect > Texture > Grain...,Effekt > Strukturierungsfilter > Körnung …
Effect > Texture > Mosaic Tiles...,Effekt > Strukturierungsfilter > Kacheln …
Effect > Texture > Patchwork...,Effekt > Strukturierungsfilter > Patchwork …
Effect > Texture > Stained Glass...,Effekt > Strukturierungsfilter > Buntglas-Mosaik …
Effect > Texture > Texturizer...,Effekt > Strukturierungsfilter > Mit Struktur versehen …
Effect > Video > De-Interlace...,Effekt > Videofilter > De-Interlace …
Effect > Video > NTSC Colors,Effekt > Videofilter > NTSC-Farben
View > Outline / Preview,Ansicht > Vorschau / Pfadansicht
View > GPU Preview / Preview on CPU,Ansicht > Mit GPU anzeigen / Mit CPU anzeigen
View > Overprint Preview,Ansicht > Überdruckenvorschau
View > Pixel Preview,Ansicht > Pixelvorschau
View > Proof Setup > Working CMYK,Ansicht > Proof einrichten > Dokument-CMYK
View > Proof Setup > Legacy Macintosh RGB (Gamma 1.8),Ansicht > Proof einrichten > Altes Macintosh-RGB (Gamma 1.8)
View > Proof Setup > Internet Standard RGB (sRGB),Ansicht > Proof einrichten > Internet-Standard-RGB (sRGB)
View > Proof Setup > Monitor RGB,Ansicht > Proof einrichten > Monitor-RGB
View > Proof Setup > Color blindness - Protanopia-type,Ansicht > Proof einrichten > Farbenblindheit (Protanopie)
View > Proof Setup > Color blindness - Deuteranopia-type,Ansicht > Proof einrichten > Farbenblindheit (Deuteranopie)
View > Proof Setup > Customize...,Ansicht > Proof einrichten > Anpassen …
View > Proof Colors,Ansicht > Farbproof
View > Zoom In,Ansicht > Einzoomen
View > Zoom Out,Ansicht > Auszoomen
View > Fit Artboard in Window,Ansicht > Zeichenfläche in Fenster einpassen
View > Fit All in Window,Ansicht > Alle in Fenster einpassen
View > Show / Hide Slices,Ansicht > Slices einblenden / ausblenden
View > Lock Slices,Ansicht > Slices fixieren
View > Show / Hide Bounding Box,Ansicht > Begrenzungsrahmen einblenden / ausblenden
View > Show / Hide Transparency Grid,Ansicht > Transparenzraster einblenden / ausblenden
View > Actual Size,Ansicht > Originalgröße
View > Show / Hide Live Paint Gaps,Ansicht > Interaktive Mallücken einblenden / ausblenden
View > Show / Hide Gradient Annotator,Ansicht > Verlaufsoptimierer einblenden / ausblenden
View > Show|Hide Corner Widget,Ansicht > Ecken-Widget einblenden / ausblenden
View > Show / Hide Edges,Ansicht > Ecken einblenden / ausblenden
View > Smart Guides,Ansicht > Intelligente Hilfslinien
View > Perspective Grid > Show / Hide Grid,Ansicht > Perspektivenraster > Raster einblenden / ausblenden
View > Perspective Grid > Show / Hide Rulers,Ansicht > Perspektivenraster > Lineale einblenden / ausblenden
View > Perspective Grid > Snap to Grid,Ansicht > Perspektivenraster > Am Raster ausrichten
View > Perspective Grid > Lock Grid,Ansicht > Perspektivenraster > Raster sperren
View > Perspective Grid > Lock Station Point,Ansicht > Perspektivenraster > Bezugspunkt sperren
View > Perspective Grid > Define Grid,Ansicht > Perspektivenraster > Raster definieren
View > Perspective Grid > Save Grid as Preset,Ansicht > Perspektivenraster > Raster als Vorgabe speichern
View > Show / Hide Artboards,Ansicht > Zeichenflächen einblenden / ausblenden
View > Show / Hide Print Tiling,Ansicht > Druckaufteilung einblenden / ausblenden
View > Show / Hide Template,Ansicht > Vorlage einblenden / ausblenden
View > Rulers > Show / Hide Rulers,Ansicht > Lineale > Lineale einblende / ausblendenn
View > Rulers > Change to Global Rulers,Ansicht > Lineale > In globale Lineale ändern
View > Rulers > Show / Hide Video Rulers,Ansicht > Lineale > Videolineale einblenden / ausblenden
View > Show / Hide Text Threads,Ansicht > Textverkettungen einblenden / ausblenden
View > Guides > Show / Hide Guides,Ansicht > Hilfslinien > Hilfslinien einblenden / ausblenden
View > Guides > Lock Guides,Ansicht > Hilfslinien > Hilfslinien sperren
View > Guides > Make Guides,Ansicht > Hilfslinien > Hilfslinien erstellen
View > Guides > Release Guides,Ansicht > Hilfslinien > Hilfslinien zurückwandeln
View > Guides > Clear Guides,Ansicht > Hilfslinien > Hilfslinien löschen
View > Show / Hide Grid,Ansicht > Raster einblenden / ausblenden
View > Snap to Grid,Ansicht > Am Raster ausrichten
View > Snap to Point,Ansicht > An Punkt ausrichten
View > New View...,Ansicht > Neue Ansicht …
View > Edit Views...,Ansicht > Ansicht bearbeiten …
Window > New Window,Fenster > Neues Fenster
Window > Arrange > Cascade,Fenster > Anordnen > Überlappend
Window > Arrange > Tile,Fenster > Anordnen > Nebeneinander
Window > Arrange > Float in Window,Fenster > Anordnen > In Fenster verschiebbar machen
Window > Arrange > Float All in Windows,Fenster > Anordnen > Alle in Fenstern verschiebbar machen
Window > Arrange > Consolidate All Windows,Fenster > Anordnen > Alle Fenster zusammenführen
Window > Reset Workspace,Fenster > Arbeitsbereich > Zurücksetzen
Window > Workspace > New Workspace...,Fenster > Arbeitsbereich > Neuer Arbeitsbereich …
Window > Workspace > Manage Workspaces...,Fenster > Arbeitsbereich > Arbeitsbereiche verwalten …
Window > Find Extensions on Exchange...,Fenster > Erweiterungen auf Exchange suchen …
Window > Control,Fenster > Steuerung
Window > Toolbars > Advanced,Fenster > Werkzeugleisten > Erweitert
Window > Toolbars > Basic,Fenster > Werkzeugleisten > Einfach
Window > Toolbars > New Toolbar...,Fenster > Werkzeugleisten > Neue Werkzeugleiste …
Window > Toolbars > Manage Toolbar...,Fenster > Werkzeugleisten > Werkzeugleisten verwalten …
Window > 3D and Materials,Fenster > 3D und Materialien
Window > Actions,Fenster > Aktionen
Window > Align,Fenster > Ausrichten
Window > Appearance,Fenster > Aussehen
Window > Artboards,Fenster > Zeichenflächen
Window > Asset Export,Fenster > Export von Element
Window > Attributes,Fenster > Attribute
Window > Brushes,Fenster > Pinsel
Window > Color,Fenster > Farbe
Window > Color Guide,Fenster > Farbhilfe
Window > Comments,Fenster > Kommentare
Window > CSS Properties,CSS-Eigenschaften
Window > Document Info,Fenster > Dokumentinformationen
Window > Flattener Preview,Fenster > Reduzierungsvorschau
Window > Gradient,Fenster > Verlauf
Window > Graphic Styles,Fenster > Grafikstile
Window > History,Fenster > Versionsverlauf
Window > Info,Fenster > Info
Window > Layers,Fenster > Ebenen
Window > Libraries,Fenster > Bibliotheken
Window > Links,Fenster > Verknüpfungen
Window > Magic Wand,Fenster > Zauberstab
Window > Navigator,Fenster > Navigator
Window > Pathfinder,Fenster > Pathfinder
Window > Pattern Options,Fenster > Musteroptionen
Window > Properties,Fenster > Eigenschaften
Window > Separations Preview,Fenster > Separationenvorschau
Window > Stroke,Fenster > Kontur
Window > SVG Interactivity,Fenster > SVG-Interaktivität
Window > Swatches,Fenster > Farbfelder
Window > Symbols,Fenster > Symbole
Window > Transform,Fenster > Transformieren
Window > Transparency,Fenster > Transparenz
Window > Type > Character,Fenster > Schrift > Zeichen
Window > Type > Character Styles,Fenster > Schrift > Zeichenformate
Window > Type > Glyphs,Fenster > Schrift > Glyphen
Window > Type > OpenType,Fenster > Schrift > OpenType
Window > Type > Paragraph,Fenster > Schrift > Absatz
Window > Type > Paragraph Styles,Fenster > Schrift > Absatzformate
Window > Type > Tabs,Fenster > Schrift > Tabulatoren
Window > Variables,Fenster > Variablen
Window > Version History,Fenster > Versionsverlauf
Window > Brush Libraries > Other Library,Fenster > Pinsel-Bibliotheken > Andere Bibliothek …
Window > Graphic Style Libraries > Other Library...,Fenster > Grafikstil-Bibliotheken > Andere Bibliothek …
Window > Swatch Libraries > Other Library...,Fenster > Farbfeld-Bibliotheken > Andere Bibliothek …
Window > Symbol Libraries > Other Library...,Fenster > Symbol-Bibliotheken > Andere Bibliothek …
Help > Illustrator Help...,Hilfe > Illustrator-Hilfe …
Help > Support Community,Hilfe > Support-Community
Help > Submit Bug/Feature Request...,Hilfe > Fehlermeldung / Funktionswunsch senden …
Help > System Info...,Hilfe > Systeminformationen …
Palette > Actions > Batch...,Anderes Bedienfeld > Aktionsstapel …
Palette > Appearance > Add New Fill,Anderes Bedienfeld > Neue Fläche hinzufügen
Palette > Appearance > Add New Stroke,Anderes Bedienfeld > Neue Kontur hinzufügen
Palette > Graphic Styles > New Graphic Style...,Anderes Bedienfeld > Neuer Grafikstil …
Palette > Layers > New Layer,Anderes Bedienfeld > Neue Ebene
Palette > Layers > New Layer with Dialog...,Anderes Bedienfeld > Neue Ebene mit Dialog …
Palette > Links > Update Link,Anderes Bedienfeld > Verknüpfung aktualisieren
Palette > Swatches > New Swatch...,Anderes Bedienfeld > Neues Farbfeld …
Palette > Symbols > New Symbol...,Anderes Bedienfeld > Neues Symbol …
About Illustrator...,Über Illustrator …
Preferences > General...,Voreinstellungen > Allgemein …
Preferences > Selection & Anchor Display...,Voreinstellungen > Auswahl und Ankerpunkt-Anzeige …
Preferences > Type...,Voreinstellungen > Schrift …
Preferences > Units...,Voreinstellungen > Einheit …
Preferences > Guides & Grid...,Voreinstellungen > Hilfslinien und Raster …
Preferences > Smart Guides...,Voreinstellungen > Intelligente Hilfslinien …
Preferences > Slices...,Voreinstellungen > Slices …
Preferences > Hyphenation...,Voreinstellungen > Silbentrennung …
Preferences > Plug-ins & Scratch Disks...,Voreinstellungen > Zusatzmodule und virtueller Speicher …
Preferences > User Interface...,Voreinstellungen > Benutzeroberfläche …
Preferences > Performance,Voreinstellungen > Leistung …
Preferences > File Handling...,Voreinstellungen > Dateihandhabung…
Preferences > Clipboard Handling,Voreinstellungen > Zwischenablageoptionen …
Preferences > Appearance of Black...,Bearbeiten > Voreinstellungen > Aussehen von Schwarz …
Preferences > Devices,Voreinstellungen > Geräte …
Add Anchor Point Tool,Ankerpunkt-hinzufügen-Werkzeug
Anchor Point Tool,Ankerpunkt-Werkzeug
Arc Tool,Bogen-Werkzeug
Area Graph Tool,Flächendiagramm
Area Type Tool,Flächentext-Werkzeug
Artboard Tool,Zeichenflächen-Werkzeug
Bar Graph Tool,Horizontales Balkendiagramm
Blend Tool,Angleichen-Werkzeug
Bloat Tool,Aufblasen-Werkzeug
Blob Brush Tool,Tropfenpinsel-Werkzeug
Column Graph Tool,Vertikales Balkendiagramm
Crystallize Tool,Kristallisieren-Werkzeug
Curvature Tool,Kurvenzeichner
Delete Anchor Point Tool,Ankerpunkt-löschen-Werkzeug
Direct Selection Tool,Direktauswahl-Werkzeug
Ellipse Tool,Ellipse-Werkzeug
Eraser Tool,Radiergummi-Werkzeug
Eyedropper Tool,Pipette-Werkzeug
Flare Tool,Blendenflecke-Werkzeug
Free Transform Tool,Frei-transformieren-Werkzeug
Gradient Tool,Verlauf-Werkzeug
Group Selection Tool,Gruppenauswahl-Werkzeug
Hand Tool,Hand-Werkzeug
Join Tool,Zusammenfügen-Werkzeug
Knife Tool,Messer-Werkzeug
Lasso Tool,Lasso-Werkzeug
Line Graph Tool,Liniendiagramm
Line Segment Tool,Liniensegment-Werkzeug
Live Paint Bucket Tool,Interaktiv-malen-Werkzeug
Live Paint Selection Tool,Interaktiv-malen-Auswahlwerkzeug
Magic Wand Tool,Zauberstab-Werkzeug
Measure Tool,Mess-Werkzeug
Mesh Tool,Gitter-Werkzeug
Paintbrush Tool,Pinsel-Werkzeug
Path Eraser Tool,Löschen-Werkzeug
Pattern Tile Tool,Musterelement-Werkzeug
Pen Tool,Zeichenstift-Werkzeug
Pencil Tool,Buntstift-Werkzeug
Perspective Grid Tool,Perspektivenraster-Werkzeug
Perspective Selection Tool,Perspektivenauswahl-Werkzeug
Pie Graph Tool,Kreisdiagramm-Werkzeug
Polar Grid Tool,Radiales-Raster-Werkzeug
Polygon Tool,Polygon-Werkzeug
Print Tiling Tool,Druckaufteilungs-Werkzeug
Pucker Tool,Zusammenziehen-Werkzeug
Puppet Warp Tool,Formgitter-Werkzeug
Radar Graph Tool,Netzdiagramm
Rectangle Tool,Rechteck-Werkzeug
Rectangular Grid Tool,Rechteckiges-Raster-Werkzeug
Reflect Tool,Spiegeln-Werkzeug
Reshape Tool,Form-ändern-Werkzeug
Rotate Tool,Drehen-Werkzeug
Rotate View Tool,Ansichtdrehung-Werkzeug
Rounded Rectangle Tool,Abgerundetes-Rechteck-Werkzeug
Scale Tool,Skalieren-Werkzeug
Scallop Tool,Ausbuchten-Werkzeug
Scatter Graph Tool,Streudiagramm
Scissors Tool,Schere-Werkzeug
Selection Tool,Auswahl-Werkzeug
Shape Builder Tool,Formerstellungs-Werkzeug
Shaper Tool,Shaper-Werkzeug
Shear Tool,Verbiegen-Werkzeug
Slice Tool,Slice-Werkzeug
Slice Selection Tool,Slice-Auswahl-Werkzeug
Smooth Tool,Glätten-Werkzeug
Spiral Tool,Spirale-Werkzeug
Stacked Bar Graph Tool,Gestapeltes horizontales Balkendiagramm
Stacked Column Graph Tool,Gestapeltes vertikales Balkendiagramm
Star Tool,Stern-Werkzeug
Symbol Screener Tool,Symbol-transparent-gestalten-Werkzeug
Symbol Scruncher Tool,Symbol-stauchen-Werkzeug
Symbol Shifter Tool,Symbol-verschieben-Werkzeug
Symbol Sizer Tool,Symbol-skalieren-Werkzeug
Symbol Spinner Tool,Symbol-drehen-Werkzeug
Symbol Sprayer Tool,Symbol-aufsprühen-Werkzeug
Symbol Stainer Tool,Symbol-färben-Werkzeug
Symbol Styler Tool,Symbol-gestalten-Werkzeug
Touch Type Tool,Touch-Type-Textwerkzeug
Twirl Tool,Strudel-Werkzeug
Type Tool,Text-Werkzeug
Type on a Path Tool,Pfadtext-Werkzeug
Vertical Area Type Tool,Vertikaler-Flächentext-Werkzeug
Vertical Type Tool,Vertikaler-Text-Werkzeug
Vertical Type on a Path Tool,Vertikaler-Pfadtext-Werkzeug
Warp Tool,Verkrümmen-Werkzeug
Width Tool,Breiten-Werkzeug
Wrinkle Tool,Zerknittern-Werkzeug
Zoom Tool,Zoom-Werkzeug
