English,Translation
Effect > Texture > Patchwork...,Эффект > Текстура > Цветная плитка…
Effect > Texture > Stained Glass...,Эффект > Текстура > Витраж…
Effect > Texture > Texturizer...,Эффект > Текстура > Текстуризатор…
Effect > Video > De-Interlace...,Эффект > Видео > Устранение чересстрочной развертки...
Effect > Video > NTSC Colors,Эффект > Видео > Цвета NTSC
View > Outline / Preview,Просмотр > Контуры / Иллюстрация
View > GPU Preview / Preview on CPU,Просмотр > Просмотр с использованием ЦП / ГП
View > Overprint Preview,Просмотр > Просмотр наложения цветов
View > Pixel Preview,Просмотр > Просмотр в виде пикселов
View > Proof Setup > Working CMYK,Просмотр > Параметры цветопробы > Рабочее пространство CMYK
View > Proof Setup > Legacy Macintosh RGB (Gamma 1.8),Просмотр > Параметры цветопробы > Ранняя версия Macintosh RGB (Gamma 1.8)
View > Proof Setup > Internet Standard RGB (sRGB),Просмотр > Параметры цветопробы > Стандартная палитра RGB (sRGB) для сети Интернет
View > Proof Setup > Monitor RGB,Просмотр > Параметры цветопробы > Палитра RGB монитора
View > Proof Setup > Color blindness - Protanopia-type,Просмотр > Параметры цветопробы > Дальтонизм - протанопия
View > Proof Setup > Color blindness - Deuteranopia-type,Просмотр > Параметры цветопробы > Дальтонизм - дейтеранопия
View > Proof Setup > Customize...,Просмотр > Параметры цветопробы > Заказные параметры…
View > Proof Colors,Просмотр > Цветопроба
View > Zoom In,Просмотр > Увеличение
View > Zoom Out,Просмотр > Уменьшение
View > Fit Artboard in Window,Просмотр > Подогнать монтажную область по размеру окна
View > Fit All in Window,Просмотр > Подогнать все по размеру окна
View > Show / Hide Slices,Просмотр > Показать / спрятать фрагменты
View > Lock Slices,Просмотр > Закрепить фрагменты
View > Show / Hide Bounding Box,Просмотр > Показать / спрятать ограничительную рамку
View > Show / Hide Transparency Grid,Просмотр > Показать / спрятать сетку прозрачности
View > Actual Size,Просмотр > Реальный размер
View > Show / Hide Live Paint Gaps,Просмотр > Показать / спрятать зазоры быстрых заливок
View > Show / Hide Gradient Annotator,Просмотр > Показать / спрятать градиентный аннотатор
View > Show|Hide Corner Widget,Просмотр > Показать / спрятать виджет углов
View > Show / Hide Edges,Просмотр > Показать / спрятать границы
View > Smart Guides,Просмотр > Быстрые направляющие
View > Perspective Grid > Show / Hide Grid,Просмотр > Сетка перспективы > Показать / скрыть сетку
View > Perspective Grid > Show / Hide Rulers,Просмотр > Сетка перспективы > Показать / скрыть линейки
View > Perspective Grid > Snap to Grid,Просмотр > Сетка перспективы > Привязать к сетке
View > Perspective Grid > Lock Grid,Просмотр > Сетка перспективы > Закрепить сетку
View > Perspective Grid > Lock Station Point,Просмотр > Сетка перспективы > Закрепить точку наблюдения
View > Perspective Grid > Define Grid,Просмотр > Сетка перспективы > Определить сетку...
View > Perspective Grid > Save Grid as Preset,Просмотр > Сетка перспективы > Сохранить сетку как стиль...
View > Show / Hide Artboards,Просмотр > Показать / скрыть монтажные области
View > Show / Hide Print Tiling,Просмотр > Показать / спрятать разбиение для печати
View > Show / Hide Template,Просмотр > Спрятать шаблон
View > Rulers > Show / Hide Rulers,Просмотр > Показать / скрыть линейки
View > Rulers > Change to Global Rulers,Просмотр > Линейки > Сменить на общие линейки / монтажной области
View > Rulers > Show / Hide Video Rulers,Просмотр > Показать / скрыть линейки видео
View > Show / Hide Text Threads,Просмотр > Показать / спрятать связи текстовых блоков
View > Guides > Show / Hide Guides,Просмотр > Направляющие > Показать / спрятать направляющие
View > Guides > Lock Guides,Просмотр > Направляющие > Закрепить направляющие
View > Guides > Make Guides,Просмотр > Направляющие > Создать направляющие
View > Guides > Release Guides,Просмотр > Направляющие > Освободить направляющие
View > Guides > Clear Guides,Просмотр > Направляющие > Удалить направляющие
View > Show / Hide Grid,Просмотр > Показать / спрятать сетку
View > Snap to Grid,Просмотр > Выравнивать по сетке
View > Snap to Point,Просмотр > Выравнивать по точкам
View > New View...,Просмотр > Новый вид…
View > Edit Views...,Просмотр > Редактировать виды…
Window > New Window,Окно > Новое окно
Window > Arrange > Cascade,Окно > Упорядить > Каскадом
Window > Arrange > Tile,Окно > Упорядить > Мозаикой
Window > Arrange > Float in Window,Окно > Упорядить > Плавающее в окне
Window > Arrange > Float All in Windows,Окно > Упорядить > Все плавающие в окнах
Window > Arrange > Consolidate All Windows,Окно > Упорядить > Объединить все окна
Window > Reset Workspace,Окно > Восстановить рабочую среду
Window > Workspace > New Workspace...,Окно > Рабочая среда > Создать рабочую среду...
Window > Workspace > Manage Workspaces...,Окно > Рабочая среда > Управление рабочими средами...
Window > Find Extensions on Exchange...,Окно > Поиск расширений на Exchange...
Window > Control,Окно > Панель управления
Window > Toolbars > Advanced,Окно > Панели инструментов > Дополнительные
Window > Toolbars > Basic,Окно > Панели инструментов > Основные
Window > Toolbars > New Toolbar...,Окно > Панели инструментов > Новая панель инструментов...
Window > Toolbars > Manage Toolbar...,Окно > Панели инструментов > Управление панелями инструментов...
Window > 3D and Materials,Окно > 3D и материалы
Window > Actions,Окно > Операции
Window > Align,Окно > Выравнивание
Window > Appearance,Окно > Оформление
Window > Artboards,Окно > Монтажные области
Window > Asset Export,Окно > Экспорт ресурсов
Window > Attributes,Окно > Атрибуты
Window > Brushes,Окно > Кисти
Window > Color,Окно > Цвет
Window > Color Guide,Окно > Каталог цветов
Window > Comments,Окно > Комментарии
Window > CSS Properties,Окно > Свойства CSS
Window > Document Info,Окно > Информация о документе
Window > Flattener Preview,Окно > Просмотр результатов сведения
Window > Gradient,Окно > Градиент
Window > Graphic Styles,Окно > Стили графики
Window > History,Окно > История
Window > Info,Окно > Информация
Window > Layers,Окно > Слои
Window > Libraries,Окно > Библиотеки
Window > Links,Окно > Связи
Window > Magic Wand,Окно > Волшебная палочка
Window > Navigator,Окно > Навигатор
Window > Pathfinder,Окно > Обработка контуров
Window > Pattern Options,Окно > Параметры узора
Window > Properties,Окно > Свойства
Window > Separations Preview,Окно > Просмотр цветоделений
Window > Stroke,Окно > Обводка
Window > SVG Interactivity,Окно > Интерактивность SVG
Window > Swatches,Окно > Образцы
Window > Symbols,Окно > Символы
Window > Transform,Окно > Трансформирование
Window > Transparency,Окно > Прозрачность
Window > Type > Character,Окно > Текст > Символ
Window > Type > Character Styles,Окно > Текст > Стили символов
Window > Type > Glyphs,Окно > Текст > Глифы
Window > Type > OpenType,Окно > Текст > OpenType
Window > Type > Paragraph,Окно > Текст > Абзац
Window > Type > Paragraph Styles,Окно > Текст > Стили абзацев
Window > Type > Tabs,Окно > Текст > Табуляция
Window > Variables,Окно > Переменные
Window > Version History,Окно > Журнал версий
Window > Brush Libraries > Other Library,Окно > Библиотеки кистей > Другая библиотека...
Window > Graphic Style Libraries > Other Library...,Окно > Библиотеки стилей графики > Другая библиотека...
Window > Swatch Libraries > Other Library...,Окно > Библиотеки образцов > Другая библиотека...
Window > Symbol Libraries > Other Library...,Окно > Библиотеки символов > Другая библиотека...
Help > Illustrator Help...,Справка > Справка программы Illustrator...
Help > Support Community,Справка > Сообщество службы поддержки
Help > Submit Bug/Feature Request...,Справка > Сообщение об ошибке/запрос на добавление новых функций...
Help > System Info...,Справка > Информация о системе…
Palette > Actions > Batch...,Палитра > Операции > Пакетная обработка…
Palette > Appearance > Add New Fill,Палитра > Оформление > Добавить новую заливку
Palette > Appearance > Add New Stroke,Палитра > Оформление > Добавить новую обводку
Palette > Graphic Styles > New Graphic Style...,Палитра > Стили графики > Новый стиль графики
Palette > Layers > New Layer,Палитра > Слои > Создать новый слой
Palette > Layers > New Layer with Dialog...,Палитра > Слои > Создать новый с параметрами...
Palette > Links > Update Link,Палитра > Связи > Обновить связь
Palette > Swatches > New Swatch...,Палитра > Образцы > Новый образец
Palette > Symbols > New Symbol...,Палитра > Символы > Новый символ
About Illustrator...,О программе Illustrator…
Preferences > General...,Установки > Основные…
Preferences > Selection & Anchor Display...,Установки > Отображение выделения и опорных точек…
Preferences > Type...,Установки > Текст…
Preferences > Units...,Установки > Единицы измерения…
Preferences > Guides & Grid...,Установки > Направляющие и сетка…
Preferences > Smart Guides...,Установки > Быстрые направляющие…
Preferences > Slices...,Установки > Фрагменты…
Preferences > Hyphenation...,Установки > Расстановка переносов…
Preferences > Plug-ins & Scratch Disks...,Установки > Внешние модули и рабочие диски…
Preferences > User Interface...,Установки > Интерфейс пользователя…
Preferences > Performance,Установки > Производительность…
Preferences > File Handling...,Установки > Обработка файлов…
Preferences > Clipboard Handling,Установки > Обработка буфера…
Preferences > Appearance of Black...,Установки > Воспроизведение черного цвета...
Preferences > Devices,Установки > Устройства…
Add Anchor Point Tool,Инструмент: Добавить опорную точку
Anchor Point Tool,Инструмент: Опорная точка
Arc Tool,Инструмент: Дуга
Area Graph Tool,Инструмент: Диаграмма с областями
Area Type Tool,Инструмент: Текст в области
Artboard Tool,Инструмент: Монтажная область
Bar Graph Tool,Инструмент: Диаграмма горизонтальные полосы
Blend Tool,Инструмент: Переход
Bloat Tool,Инструмент: Раздувание
Blob Brush Tool,Инструмент: Кисть-клякса
Column Graph Tool,Инструмент: Диаграмма вертикальные полосы
Crystallize Tool,Инструмент: Кристаллизация
Curvature Tool,Инструмент: Кривизна
Delete Anchor Point Tool,Инструмент: Удалить опорную точку
Direct Selection Tool,Инструмент: Прямое выделение
Ellipse Tool,Инструмент: Эллипс
Eraser Tool,Инструмент: Ластик
Eyedropper Tool,Инструмент: Пипетка
Flare Tool,Инструмент: Блик
Free Transform Tool,Инструмент: Свободное трансформирование
Gradient Tool,Инструмент: Градиент
Group Selection Tool,Инструмент: Групповое выделение
Hand Tool,Инструмент: Рука
Join Tool,Инструмент: Соединение
Knife Tool,Инструмент: Нож
Lasso Tool,Инструмент: Лассо
Line Graph Tool,Инструмент: Линейная диаграмма
Line Segment Tool,Инструмент: Отрезок линии
Live Paint Bucket Tool,Инструмент: Быстрая заливка
Live Paint Selection Tool,Инструмент: Выделение быстрых заливок
Magic Wand Tool,Инструмент: Волшебная палочка
Measure Tool,Инструмент: Линейка
Mesh Tool,Инструмент: Сетка
Paintbrush Tool,Инструмент: Кисть
Path Eraser Tool,Инструмент: Стирание контура
Pattern Tile Tool,Инструмент: Элемент узора
Pen Tool,Инструмент: Перо
Pencil Tool,Инструмент: Карандаш
Perspective Grid Tool,Инструмент: Сетка перспективы
Perspective Selection Tool,Инструмент: Выбор перспективы
Pie Graph Tool,Инструмент: Круговая диаграмма
Polar Grid Tool,Инструмент: Полярная сетка
Polygon Tool,Инструмент: Многоугольник
Print Tiling Tool,Инструмент: Разбиение для печати
Pucker Tool,Инструмент: Втягивание
Puppet Warp Tool,Инструмент: Марионеточная деформация
Radar Graph Tool,Инструмент: Диаграмма радар
Rectangle Tool,Инструмент: Прямоугольник
Rectangular Grid Tool,Инструмент: Прямоугольная сетка
Reflect Tool,Инструмент: Зеркальное отражение
Reshape Tool,Инструмент: Перерисовка
Rotate Tool,Инструмент: Поворот
Rotate View Tool,Инструмент: Поворот вида
Rounded Rectangle Tool,Инструмент: Прямоугольник со скругленными углами
Scale Tool,Инструмент: Масштаб
Scallop Tool,Инструмент: Зубцы
Scatter Graph Tool,Инструмент: Точечная диаграмма
Scissors Tool,Инструмент: Ножницы
Selection Tool,Инструмент: Выделение
Shape Builder Tool,Инструмент: Создание фигур
Shaper Tool,Инструмент: Shaper
Shear Tool,Инструмент: Наклон
Slice Tool,Инструмент: Фрагменты
Slice Selection Tool,Инструмент: Выделение фрагмента
Smooth Tool,Инструмент: Сглаживание
Spiral Tool,Инструмент: Спираль
Stacked Bar Graph Tool,Инструмент: Диаграмма горизонтальный стек
Stacked Column Graph Tool,Инструмент: Диаграмма вертикальный стек
Star Tool,Инструмент: Звезда
Symbol Screener Tool,Инструмент: Прозрачность символов
Symbol Scruncher Tool,Инструмент: Уплотнение символов
Symbol Shifter Tool,Инструмент: Смещение символов
Symbol Sizer Tool,Инструмент: Размер символов
Symbol Spinner Tool,Инструмент: Вращение символов
Symbol Sprayer Tool,Инструмент: Распыление символов
Symbol Stainer Tool,Инструмент: Обесцвечивание символов
Symbol Styler Tool,Инструмент: Стили символов
Touch Type Tool,Инструмент: Изменение текста
Twirl Tool,Инструмент: Воронка
Type Tool,Инструмент: Текст
Type on a Path Tool,Инструмент: Текст по контуру
Vertical Area Type Tool,Инструмент: Вертикальный текст в области
Vertical Type Tool,Инструмент: Вертикальный текст
Vertical Type on a Path Tool,Инструмент: Вертикальный текст по контуру
Warp Tool,Инструмент: Деформация
Width Tool,Инструмент: Ширина
Wrinkle Tool,Инструмент: Морщины
Zoom Tool,Инструмент: Масштаб
